"entity_name","ls","p"
"PS 107 THOMAS A DOOLEY",0.225670763800745,0.00314492943975016
"NEW YORK CITY ACADEMY FOR DISCOVERY",0.22625880846733,0.00131342760824833
"ACADEMY FOR CAREERS IN TELEVISION AND FILM",0.228375963596961,0.00205405484289946
"CHANNEL VIEW SCHOOL FOR RESEARCH",0.228640230812967,0.00350612203201845
"PS 29",0.228808308725045,0.00242619266523649
"ACADEMY OF AMERICAN STUDIES",0.229106702078189,0.00366300366300366
"PS 164 QUEENS VALLEY",0.230349083552796,0.00235687287480116
"BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL",0.230740511965922,0.00191541526202881
"FLUSHING INTERNATIONAL HIGH SCHOOL",0.23134612333629,0.00146666082921063
"BELL ACADEMY",0.232540170837499,0.00132802124833997
"PS 376",0.235287488403588,0.000426863972680706
"PS 205 ALEXANDER GRAHAM BELL",0.236731458565918,0.00101790639639245
"MS 137 AMERICA'S SCHOOL OF HEROES",0.238970241392608,0.00699035360389942
"JHS 194 WILLIAM CARR",0.239686218494097,0.00464442595916699
"PS 82 HAMMOND",0.241519478060367,0.00237146651489281
"PS 18 WINCHESTER",0.242037829695754,0.00199568028253287
"NEWCOMERS HIGH SCHOOL",0.242038591458208,0.00300264144885659
"QUEENS HIGH SCHOOL FOR LANGUAGE STUDIES",0.243034201436163,0.00155422266976052
"PS 220 EDWARD MANDEL",0.244867278277554,0.00242619266523649
"PS 232 LINDENWOOD",0.246854650075744,0.00336018563110197
"JEAN NUZZI INTERMEDIATE SCHOOL",0.247254846113356,0.00424674926666959
"NORTH QUEENS COMMUNITY HIGH SCHOOL",0.248142715130146,0.000616581293872131
"PS 174 WILLIAM SIDNEY MOUNT",0.249913111594778,0.00237876333493863
"IS 230",0.250325923413799,0.00458969980882331
"PS 130",0.254573728236312,0.00140463785882113
"JAMAICA GATEWAY TO THE SCIENCES",0.256055820027004,0.00179866614129562
"PS 26 RUFUS KING",0.257229363082452,0.00248456722560308
"JHS 185 EDWARD BLEEKER",0.258930615007694,0.00552004436466588
"IS 5 THE WALTER CROWLEY INTERMEDIATE SCHOOL",0.259024303706088,0.00653430235103542
"IS 25 ADRIEN BLOCK",0.259205594368579,0.0038271821140347
"BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION",0.261605682640224,0.00195554777228084
"ACADEMY FOR NEW AMERICANS",0.262163454524087,0.00039767669249741
