"school_name","county","total","n_ed","n_ell","n_swd","race","count"
"IS 117 JOSEPH H WADE","BRONX",487,466,175,121,"black",91
"IS 119 GLENDALE (THE)","QUEENS",1269,937,30,129,"black",25
"IS 125 THOMAS J MCCANN WOODSIDE","QUEENS",1506,1138,245,266,"black",30
"IS 136 CHARLES O DEWEY","KINGS",513,480,189,126,"black",12
"IS 141 STEINWAY (THE)","QUEENS",1182,691,108,174,"black",43
"IS 145 JOSEPH PULITZER","QUEENS",1713,1549,325,251,"black",34
"IS 171 ABRAHAM LINCOLN","KINGS",414,394,118,77,"black",36
"IS 181 PABLO CASALS","BRONX",895,717,31,216,"black",538
"IS 187 CHRISTA MCAULIFFE SCHOOL (THE)","KINGS",952,583,25,97,"black",12
"IS 192 LINDEN (THE)","QUEENS",492,357,40,115,"black",383
"IS 204 OLIVER W HOLMES","QUEENS",460,411,81,128,"black",88
"IS 206 ANN MERSEREAU","BRONX",228,213,81,71,"black",28
"IS 211 JOHN WILSON","KINGS",431,356,42,119,"black",355
"IS 219 NEW VENTURE SCHOOL","BRONX",352,334,86,124,"black",136
"IS 227 LOUIS ARMSTRONG","QUEENS",1588,1110,65,226,"black",128
"IS 228 DAVID A BOODY","KINGS",1403,1098,177,238,"black",71
"IS 229 ROLAND PATTERSON","BRONX",239,225,36,81,"black",90
"IS 230","QUEENS",1258,960,170,167,"black",3
"IS 232","BRONX",505,491,175,119,"black",112
"IS 237","QUEENS",1382,1117,284,188,"black",69
"IS 238 SUSAN B ANTHONY ACADEMY","QUEENS",1298,1087,207,194,"black",466
"IS 25 ADRIEN BLOCK","QUEENS",1049,587,123,160,"black",20
"IS 250 ROBERT F KENNEDY COMMUNITY MIDDLE SCHOOL (THE)","QUEENS",363,315,54,77,"black",91
"IS 254","BRONX",490,440,184,148,"black",80
"IS 281 JOSEPH B CAVALLARO","KINGS",1353,1128,228,265,"black",82
"IS 285 MEYER LEVIN","KINGS",748,579,25,168,"black",694
"IS 286 RENAISSANCE LEADERSHIP ACADEMY","NEW YORK",126,111,11,56,"black",71
"IS 289","NEW YORK",283,149,14,66,"black",12
"IS 303 HERBERT S EISENBERG","KINGS",568,428,94,96,"black",56
"IS 303 LEADERSHIP & COMM SERVICE","BRONX",322,317,44,115,"black",88
"IS 313 SCHOOL OF LEADERSHIP DEVELOPMENT","BRONX",299,278,110,77,"black",79
"IS 318 EUGENO MARIA DE HOSTOS","KINGS",1208,774,66,239,"black",202
"IS 318 MATH, SCIENCE & TECH THROUGH ARTS SCHOOL","BRONX",255,241,34,79,"black",84
"IS 338","KINGS",213,167,13,30,"black",81
"IS 339","BRONX",480,450,140,131,"black",138
"IS 340","KINGS",204,170,5,45,"black",149
"IS 347 SCHOOL OF HUMANITIES","KINGS",316,299,62,77,"black",14
"IS 349 MATH, SCIENCE AND TECHNOLOGY","KINGS",326,318,65,75,"black",43
"IS 364 GATEWAY","KINGS",331,276,6,98,"black",229
"IS 381","KINGS",254,198,30,52,"black",143
"IS 392","KINGS",311,240,4,51,"black",242
"IS 5 THE WALTER CROWLEY INTERMEDIATE SCHOOL","QUEENS",1791,1390,316,357,"black",29
"IS 528 BEA FULLER RODGERS SCHOOL","NEW YORK",230,222,61,45,"black",2
"IS 59 SPRINGFIELD GARDENS","QUEENS",603,400,20,118,"black",524
"IS 61 LEONARDO DA VINCI","QUEENS",2235,2088,709,491,"black",56
"IS 68 ISAAC BILDERSEE","KINGS",289,236,67,86,"black",224
"IS 73 FRANK SANSIVIERI INTERMEDIATE SCHOOL  (THE)","QUEENS",1978,1337,266,402,"black",15
"IS 77","QUEENS",934,846,192,278,"black",19
"IS 93 RIDGEWOOD","QUEENS",1126,1016,151,257,"black",28
"IS 96 SETH LOW","KINGS",794,607,231,183,"black",66
"IS 98 BAY ACADEMY","KINGS",1562,814,27,151,"black",40
"ISAAC NEWTON MS FOR MATH AND SCIENCE","NEW YORK",239,211,31,75,"black",52
"IT TAKES A VILLAGE ACADEMY","KINGS",645,465,107,99,"black",576
"IVAN L GREEN PRIMARY SCHOOL","MONROE",353,228,26,34,"black",62
"JACQUELINE KENNEDY-ONASSIS HIGH SCHOOL","NEW YORK",467,369,47,97,"black",117
"JAMAICA CHILDREN'S SCHOOL","QUEENS",198,176,12,63,"black",130
"JAMAICA GATEWAY TO THE SCIENCES","QUEENS",493,371,50,76,"black",170
"JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LRNING","NEW YORK",241,197,20,78,"black",91
"JAMES MADISON HIGH SCHOOL","KINGS",3808,2855,517,609,"black",580
"JAMES MONROE HIGH SCHOOL","MONROE",825,778,327,186,"black",320
"JAMES WELDON JOHNSON SCHOOL","NEW YORK",770,684,89,233,"black",195
"JEAN NUZZI INTERMEDIATE SCHOOL","QUEENS",1164,788,81,193,"black",470
"JEFFERSON AVENUE SCHOOL","MONROE",629,122,3,69,"black",29
"JEFFERSON ROAD SCHOOL","MONROE",352,10,0,48,"black",7
"JHS 104 SIMON BARUCH","NEW YORK",1117,483,53,185,"black",84
"JHS 118 WILLIAM W NILES","BRONX",1107,1000,134,259,"black",223
"JHS 123 JAMES M KIERNAN","BRONX",419,364,105,105,"black",84
"JHS 127 CASTLE HILL (THE)","BRONX",845,634,111,170,"black",189
"JHS 131 ALBERT EINSTEIN","BRONX",477,401,48,149,"black",158
"JHS 14 SHELL BANK","KINGS",527,465,135,130,"black",190
"JHS 143 ELEANOR ROOSEVELT","NEW YORK",247,229,145,77,"black",8
"JHS 144 MICHELANGELO","BRONX",482,378,52,121,"black",283
"JHS 151 LOU GEHRIG","BRONX",234,226,72,64,"black",57
"JHS 157 STEPHEN A HALSEY","QUEENS",1655,904,172,253,"black",137
"JHS 162 WILLOUGHBY (THE)","KINGS",319,282,50,71,"black",11
"JHS 167 ROBERT F WAGNER","NEW YORK",1378,427,40,251,"black",96
"JHS 185 EDWARD BLEEKER","QUEENS",1513,1128,203,224,"black",27
"JHS 189 DANIEL CARTER BEARD","QUEENS",774,609,208,147,"black",23
"JHS 190 RUSSELL SAGE","QUEENS",1078,468,106,161,"black",76
"JHS 194 WILLIAM CARR","QUEENS",1273,701,112,203,"black",17
"JHS 201 DYKER HEIGHTS (THE)","KINGS",1652,1208,159,233,"black",9
"JHS 202 ROBERT H GODDARD","QUEENS",1100,848,79,189,"black",87
"JHS 210 ELIZABETH BLACKWELL","QUEENS",1873,1542,295,334,"black",85
"JHS 216 GEORGE J RYAN","QUEENS",1513,1051,100,191,"black",72
"JHS 217 ROBERT A VAN WYCK","QUEENS",1664,1208,275,293,"black",262
"JHS 218 JAMES P SINNOTT","KINGS",427,413,104,117,"black",181
"JHS 22 JORDAN L MOTT","BRONX",423,411,121,102,"black",86
"JHS 220 JOHN J PERSHING","KINGS",1526,1319,489,259,"black",18
"JHS 223 MONTAUK (THE)","KINGS",936,906,260,168,"black",17
"JHS 226 VIRGIL I GRISSON","QUEENS",942,808,70,195,"black",325
"JHS 227 EDWARD B SHALLOW","KINGS",1620,1471,453,253,"black",10
"JHS 234 ARTHUR W CUNNINGHAM","KINGS",1767,1269,170,283,"black",292
"JHS 259 WILLIAM MCKINLEY","KINGS",1886,1495,221,239,"black",13
"JHS 278 MARINE PARK","KINGS",1202,841,46,220,"black",482
"JHS 291 ROLAND HAYES","KINGS",291,278,85,81,"black",41
"JHS 292 MARGARET S DOUGLAS","KINGS",556,527,84,145,"black",273
"JHS 383 PHILIPPA SCHUYLER","KINGS",912,752,53,158,"black",316
"JHS 50 JOHN D WELLS","KINGS",324,294,57,103,"black",68
"JHS 52 INWOOD","NEW YORK",255,248,117,66,"black",9
"JHS 54 BOOKER T WASHINGTON","NEW YORK",869,174,10,129,"black",69
"JHS 57 WHITELAW REID","KINGS",161,153,13,56,"black",101
"JHS 62 DITMAS","KINGS",1204,1037,262,239,"black",208
"JHS 67 LOUIS PASTEUR","QUEENS",951,419,36,101,"black",34
"JHS 74 NATHANIEL HAWTHORNE","QUEENS",1156,547,74,179,"black",40
"JHS 78 ROY H MANN","KINGS",573,431,36,143,"black",377
"JHS 8 RICHARD S GROSSLEY","QUEENS",386,333,49,74,"black",155
"JHS 80 THE MOSHOLU PARKWAY","BRONX",657,589,202,179,"black",90
"JHS 88 PETER ROUGET","KINGS",1454,1170,201,346,"black",181
"JHS 98 HERMAN RIDDER","BRONX",261,242,91,74,"black",67
"JILL CHAIFETZ TRANSFER HIGH SCHOOL","BRONX",205,170,18,60,"black",59
"JOHANNA PERRIN MIDDLE SCHOOL","MONROE",614,134,17,68,"black",24
"JOHN A SCIOLE ELEMENTARY SCHOOL","ERIE",431,125,12,69,"black",6
"JOHN ADAMS HIGH SCHOOL","QUEENS",2352,1760,320,330,"black",573
"JOHN BOWNE HIGH SCHOOL","QUEENS",3523,2626,602,536,"black",673
"JOHN DEWEY HIGH SCHOOL","KINGS",2189,1820,374,292,"black",691
"JOHN ERICSSON MIDDLE SCHOOL 126","KINGS",370,319,33,100,"black",80
"JOHN F KENNEDY MIDDLE SCHOOL","ERIE",722,651,116,107,"black",167
"JOHN F KENNEDY MIDDLE SCHOOL","ERIE",681,146,15,100,"black",1
"JOHN F KENNEDY MIDDLE SCHOOL","ERIE",296,207,7,46,"black",25
"JOHN F KENNEDY MIDDLE SCHOOL","ERIE",835,281,29,149,"black",27
"JOHN F KENNEDY SENIOR HIGH SCHOOL","ERIE",411,238,2,53,"black",27
"JOHN T WAUGH ELEMENTARY SCHOOL","ERIE",346,233,0,88,"black",1
"JOHN V LINDSAY WILDCAT ACADEMY CHARTER SCHOOL","NEW YORK",478,406,47,183,"black",191
"JONAS BRONCK ACADEMY","BRONX",267,231,19,57,"black",37
"JOSEPH C WILSON FOUNDATION ACADEMY","MONROE",586,537,58,109,"black",427
"JOSEPH C WILSON MAGNET HIGH SCHOOL","MONROE",774,657,100,147,"black",540
"JUAN MOREL CAMPOS SECONDARY SCHOOL","KINGS",505,437,138,177,"black",99
"JUDITH S KAYE HIGH SCHOOL","NEW YORK",92,69,4,36,"black",35
"KAEGEBEIN SCHOOL","ERIE",394,123,14,46,"black",8
"KAPPA","BRONX",333,295,36,89,"black",161
"KAPPA VII","BRONX",250,241,62,77,"black",59
"KENMORE EAST SENIOR HIGH SCHOOL","ERIE",1210,555,31,250,"black",85
"KENMORE WEST SENIOR HIGH SCHOOL","ERIE",1397,670,29,251,"black",99
"KEY COLLEGIATE CHARTER SCHOOL","KINGS",113,109,1,39,"black",82
"KHALIL GIBRAN INTERNATIONAL ACADEMY","KINGS",214,179,74,43,"black",76
"KING CENTER CHARTER SCHOOL","ERIE",427,402,13,45,"black",383
"KINGS COLLEGIATE CHARTER SCHOOL","KINGS",817,681,11,129,"black",728
"KINGSBOROUGH EARLY COLLEGE SCHOOL","KINGS",668,469,9,131,"black",166
"KINGSBRIDGE INTERNATIONAL HIGH SCHOOL","BRONX",486,471,379,21,"black",16
"KIPP ACADEMY CHARTER SCHOOL","BRONX",1061,933,101,189,"black",445
"KIPP AMP CHARTER SCHOOL","KINGS",870,740,16,159,"black",726
"KIPP FREEDOM CHARTER SCHOOL","BRONX",191,181,26,30,"black",63
"KIPP INFINITY CHARTER SCHOOL","NEW YORK",1099,977,98,260,"black",294
"KIPP NYC WASHINGTON HEIGHTS ACADEMY CHARTER SCHOOL","NEW YORK",1050,936,99,214,"black",110
"KIPP SUCCESS THROUGH TEAMWORK ACHIEVE & RESPON COL PREP CHARTER SCH","NEW YORK",1001,852,37,272,"black",482
"KLEM ROAD NORTH ELEMENTARY SCHOOL","MONROE",485,94,43,30,"black",9
"KLEM ROAD SOUTH ELEMENTARY SCHOOL","MONROE",521,157,25,44,"black",20
"KNOWLEDGE AND POWER PREP ACADEMY INTERNATIONAL HIGH SCHOOL","BRONX",468,412,52,118,"black",125
"KNOWLEDGE AND POWER PREP ACADEMY V","KINGS",195,176,6,64,"black",169
"KNOWLEDGE AND POWER PREPARATORY ACADEMY III","BRONX",388,357,39,108,"black",100
"KNOWLEDGE AND POWER PREPARATORY ACADEMY VI","QUEENS",265,224,16,50,"black",113
"KURT HAHN EXPEDITIONARY LEARNING SCHOOL","KINGS",297,244,21,81,"black",265
"LA CIMA CHARTER SCHOOL","KINGS",369,300,30,65,"black",240
"LACKAWANNA HIGH SCHOOL","ERIE",572,437,83,92,"black",84
"LACKAWANNA MIDDLE SCHOOL","ERIE",401,332,84,80,"black",69
"LAFAYETTE INTERNATIONAL SCHOOL","ERIE",287,276,276,46,"black",79
"LAKE SHORE MIDDLE SCHOOL","ERIE",517,259,0,116,"black",6
"LAKE SHORE SENIOR HIGH SCHOOL","ERIE",726,359,0,157,"black",9
"LAKESHORE ELEMENTARY SCHOOL","MONROE",426,296,21,77,"black",67
"LANCASTER HIGH SCHOOL","ERIE",1838,382,2,300,"black",27
"LANCASTER MIDDLE SCHOOL","ERIE",832,174,1,169,"black",6
"LANDMARK HIGH SCHOOL","NEW YORK",330,271,18,77,"black",113
"LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL","KINGS",310,275,11,78,"black",246
"LAURELTON-PARDEE INTERMEDIATE SCHOOL","MONROE",337,204,13,21,"black",70
"LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL","NEW YORK",470,394,23,92,"black",124
"LEADERSHIP ACADEMY FOR YOUNG MEN","MONROE",569,529,61,166,"black",372
"LEADERSHIP PREPARATORY BEDFORD STUYVESANT CHARTER SCHOOL","KINGS",1155,911,39,153,"black",927
"LEADERSHIP PREPARATORY BROWNSVILLE CHARTER SCHOOL","KINGS",788,706,14,110,"black",660
"LEADERSHIP PREPARATORY CANARSIE CHARTER SCHOOL","KINGS",794,639,6,106,"black",728
"LEADERSHIP PREPARATORY OCEAN HILL CHARTER SCHOOL","KINGS",1201,968,39,138,"black",987
"LEARNERS AND LEADERS","QUEENS",564,482,129,150,"black",13
"LEDGEVIEW ELEMENTARY SCHOOL","ERIE",471,57,0,49,"black",2
"LEGACY COLLEGE PREPARATORY CHARTER","BRONX",250,230,31,55,"black",82
"LEO BERNABI SCHOOL","MONROE",438,133,0,73,"black",15
"LEON M GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES","KINGS",1061,531,5,181,"black",73
"LEONARDO DA VINCI HIGH SCHOOL","ERIE",379,263,36,41,"black",119
"LEWIS J BENNETT HS OF INNOVATIVE TEC","ERIE",251,213,30,60,"black",153
"LEXINGTON ACADEMY (THE)","NEW YORK",603,531,65,172,"black",98
"LIBERATION DIPLOMA PLUS","KINGS",208,170,12,82,"black",99
"LIBERTY AVENUE MIDDLE SCHOOL","KINGS",486,466,74,120,"black",104
"LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS","NEW YORK",411,329,355,14,"black",96
"LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC","KINGS",281,220,25,68,"black",91
"LIFE SCIENCES SECONDARY SCHOOL","NEW YORK",426,342,44,92,"black",108
"LIMA ELEMENTARY SCHOOL","MONROE",297,61,0,29,"black",3
"LINDEN TREE ELEMENTARY SCHOOL","BRONX",366,290,109,101,"black",55
"LISTWOOD SCHOOL","MONROE",160,27,0,4,"black",5
"LONG ISLAND CITY HIGH SCHOOL","QUEENS",2268,1903,253,382,"black",229
"LONGRIDGE SCHOOL","MONROE",791,567,45,116,"black",107
"LORRAINE ELEMENTARY SCHOOL","ERIE",708,566,32,223,"black",224
"LOVEJOY DISCOVERY SCHOOL #43","ERIE",596,532,21,174,"black",160
"LOWER EAST SIDE PREPARATORY HIGH SCHOOL","NEW YORK",498,380,359,39,"black",47
"LOWER MANHATTAN ARTS ACADEMY","NEW YORK",292,222,20,108,"black",83
"LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL","NEW YORK",385,213,23,115,"black",39
"LUCERO ELEMENTARY SCHOOL","BRONX",416,405,182,93,"black",32
"LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOVERY","BRONX",345,291,145,75,"black",18
"LYONS COMMUNITY SCHOOL","KINGS",471,426,49,125,"black",156
"MADIBA PREP MIDDLE SCHOOL","KINGS",175,160,10,64,"black",124
"MAGNET SCHOOL OF MATH, SCIENCE & DESIGN TECH","KINGS",946,209,43,210,"black",78
"MANHATTAN ACADEMY FOR ARTS AND LANGUAGES","NEW YORK",237,230,156,29,"black",6
"MANHATTAN BRIDGES HIGH SCHOOL","NEW YORK",532,466,246,43,"black",2
"MANHATTAN BUSINESS ACADEMY","NEW YORK",422,370,27,93,"black",95
"MANHATTAN CENTER FOR SCIENCE & MATHEMATICS","NEW YORK",1658,1344,114,246,"black",318
"MANHATTAN CHARTER SCHOOL","NEW YORK",241,206,35,62,"black",36
"MANHATTAN CHARTER SCHOOL II","NEW YORK",184,162,11,48,"black",57
"MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL","NEW YORK",548,494,313,53,"black",166
"MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING","NEW YORK",414,304,16,82,"black",147
"MANHATTAN INTERNATIONAL HIGH SCHOOL","NEW YORK",315,235,223,7,"black",48
"MANHATTAN VILLAGE ACADEMY","NEW YORK",452,350,9,71,"black",71
"MANHATTAN/HUNTER SCIENCE HIGH SCHOOL","NEW YORK",441,264,0,62,"black",72
"MANOR INTERMEDIATE SCHOOL","MONROE",603,137,4,60,"black",7
"MAPLE EAST ELEMENTARY SCHOOL","ERIE",609,73,26,57,"black",9
"MAPLE WEST ELEMENTARY SCHOOL","ERIE",629,146,31,85,"black",29
"MAPLEMERE ELEMENTARY SCHOOL","ERIE",364,193,0,39,"black",60
"MARBLE HILL HIGH SCHOOL OF INTERNATIONAL STUDIES","BRONX",446,401,132,61,"black",66
"MARIE CURIE HIGH SCH-NURSING, MEDICINE & APPLIED HLTH PROF","BRONX",429,331,54,104,"black",127
"MARILLA PRIMARY SCHOOL","ERIE",228,45,1,30,"black",1
"MARK TWAIN IS 239 FOR THE GIFTED AND TALENTED","KINGS",1337,491,18,195,"black",85
"MARTA VALLE HIGH SCHOOL","NEW YORK",127,113,8,35,"black",47
"MARTHA BROWN MIDDLE SCHOOL","MONROE",706,154,1,84,"black",37
"MARTIN LUTHER KING JR #48","ERIE",285,272,95,56,"black",114
"MARTIN ROAD ELEMENTARY SCHOOL","ERIE",568,491,119,110,"black",85
"MARTIN VAN BUREN HIGH SCHOOL","QUEENS",1169,881,143,145,"black",541
"MARVA J DANIEL FUTURES PREPARATORY SCHOOL","ERIE",438,418,82,92,"black",295
"MARY K VOLLMER ELEMETNARY SCHOOL","MONROE",643,241,40,42,"black",86
"MARYVALE HIGH SCHOOL","ERIE",677,331,31,79,"black",88
"MARYVALE INTERMEDIATE SCHOOL","ERIE",462,259,35,77,"black",53
"MARYVALE MIDDLE SCHOOL","ERIE",490,264,36,76,"black",48
"MARYVALE PRIMARY SCHOOL","ERIE",515,275,62,54,"black",46
"MASPETH HIGH SCHOOL","QUEENS",1213,680,37,201,"black",20
"MATH AND SCIENCE EXPLORATORY SCHOOL (THE)","KINGS",545,149,6,138,"black",62
"MATH SCIENCE TECHNOLOGY PREPARATORY SCHOOL AT SENECA (THE)","ERIE",730,658,85,180,"black",517
"MATH, ENGINEERING AND SCIENCE ACADEMY CHARTER HIGH SCHOOL","KINGS",476,395,57,72,"black",46
"MATH/SCIENCE RESEARCH AND TECHNOLOGY MAGNET HS","QUEENS",383,283,50,40,"black",265
"MATILDA AVENUE SCHOOL (THE)","BRONX",165,125,8,20,"black",85
"MAURICE SENDAK COMMUNITY SCHOOL (THE)","KINGS",328,59,6,48,"black",35
"MCKINLEY VOCATIONAL HIGH SCHOOL","ERIE",1036,863,125,185,"black",579
"MEDGAR EVERS COLLEGE PREPARATORY SCHOOL","KINGS",1340,904,6,98,"black",1168
"MENDON CENTER ELEMENTARY SCHOOL","MONROE",785,19,21,74,"black",12
"MERRICK ACADEMY-QUEENS PUBLIC CHARTER SCHOOL","QUEENS",523,334,9,107,"black",480
"MERTON WILLIAMS MIDDLE SCHOOL","MONROE",692,200,3,91,"black",14
"METROPOLITAN DIPLOMA PLUS HIGH SCHOOL","KINGS",183,170,3,71,"black",149
"METROPOLITAN EXPEDITIONARY LEARNING SCHOOL","QUEENS",833,593,17,157,"black",139
"METROPOLITAN HIGH SCHOOL (THE)","BRONX",350,328,80,105,"black",85
"METROPOLITAN LIGHTHOUSE CHARTER SCHOOL","BRONX",606,558,107,69,"black",205
"METROPOLITAN SOUNDVIEW HIGH SCHOOL (THE)","BRONX",426,389,65,105,"black",97
"MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE","QUEENS",511,365,7,91,"black",13
"MIDDLE EARLY COLLEGE HIGH SCHOOL","ERIE",324,247,12,64,"black",230
"MIDDLE SCHOOL 322","NEW YORK",388,369,158,98,"black",16
"MIDDLE SCHOOL FOR ART AND PHILOSPHY","KINGS",174,157,12,57,"black",151
"MIDDLE VILLAGE PREPARATORY CHARTER SCHOOL","QUEENS",402,237,12,55,"black",9
"MIDWOOD HIGH SCHOOL","KINGS",4161,3085,111,517,"black",1178
"MILL MIDDLE SCHOOL","ERIE",849,209,10,125,"black",40
"MILLENIUM ART ACADEMY","BRONX",425,321,31,113,"black",115
"MILLENNIUM BROOKLYN HIGH SCHOOL","KINGS",671,244,2,102,"black",112
"MILLENNIUM HIGH SCHOOL","NEW YORK",683,346,5,86,"black",26
"MILTON FEIN SCHOOL","BRONX",692,557,140,89,"black",40
"MINERVA DELAND SCHOOL","MONROE",435,112,10,72,"black",21
"MONICA B LEARY ELEMENTARY SCHOOL","MONROE",422,111,19,44,"black",30
"MORRIS ACADEMY FOR COLLABORATIVE STUDIES","BRONX",399,379,66,107,"black",109
"MOSAIC PREPARATORY ACADEMY","NEW YORK",270,257,28,106,"black",104
"MOTT HALL BRIDGES ACADEMY","KINGS",200,186,3,64,"black",165
"MOTT HALL BRONX HIGH SCHOOL","BRONX",376,346,41,88,"black",100
"MOTT HALL CHARTER SCHOOL","BRONX",269,263,36,42,"black",104
"MOTT HALL COMMUNITY SCHOOL","BRONX",339,291,36,106,"black",59
"MOTT HALL HIGH SCHOOL","NEW YORK",287,267,56,89,"black",101
"MOTT HALL II","NEW YORK",429,279,16,106,"black",111
"MOTT HALL III","BRONX",355,331,19,62,"black",114
"MOTT HALL IV","KINGS",173,144,2,58,"black",151
"MOTT HALL SCHOOL (THE)","NEW YORK",301,234,7,42,"black",24
"MOTT HALL V","BRONX",665,594,97,205,"black",114
"MOTT HAVEN ACADEMY CHARTER SCHOOL","BRONX",414,400,57,101,"black",114
"MOTT HAVEN COMMUNITY HIGH SCHOOL","BRONX",227,196,20,71,"black",72
"MOTT HAVEN VILLAGE PREP HIGH SCHOOL","BRONX",333,323,69,103,"black",87
"MOUNT EDEN CHILDREN'S ACADEMY","BRONX",374,354,88,68,"black",64
"MS 101 EDWARD R BYRNE","BRONX",543,397,7,134,"black",55
"MS 113 RONALD EDMONDS LEARNING CENTER","KINGS",350,312,19,110,"black",224
"MS 129 ACADEMY OF INDEPENDENT LEARNING AND LEADERSHIP","BRONX",543,497,73,148,"black",127
"MS 131","NEW YORK",401,357,100,105,"black",27
"MS 137 AMERICA'S SCHOOL OF HEROES","QUEENS",1916,1596,191,320,"black",88
"MS 158 MARIE CURIE","QUEENS",1078,609,69,141,"black",45
"MS 180 DR DANIEL HALE WILLIAMS","BRONX",1020,699,33,207,"black",684
"MS 223 LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY (THE)","BRONX",664,633,53,133,"black",111
"MS 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS","NEW YORK",186,129,10,53,"black",56
"MS 243 CENTER SCHOOL","NEW YORK",240,34,0,46,"black",33
"MS 245 COMPUTER SCHOOL (THE)","NEW YORK",403,120,7,88,"black",51
"MS 246 WALT WHITMAN","KINGS",409,353,108,96,"black",292
"MS 247 DUAL LANGUAGE MIDDLE SCHOOL","NEW YORK",224,203,57,67,"black",3
"MS 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL","NEW YORK",159,114,11,48,"black",59
"MS 255 SALK SCHOOL OF SCIENCE","NEW YORK",395,58,1,63,"black",8
"MS 256 ACADEMIC AND ATHLETIC EXCELLENCE","NEW YORK",153,116,19,31,"black",73
"MS 260 CLINTON SCHOOL WRITERS & ARTISTS","NEW YORK",721,124,2,127,"black",28
"MS 266 PARK PLACE COMMUNITY MIDDLE SCHOOL","KINGS",157,132,9,54,"black",112
"MS 267 MATH, SCIENCE & TECHNOLOGY","KINGS",236,204,11,85,"black",177
"MS 297","NEW YORK",559,162,19,126,"black",52
"MS 301 PAUL L DUNBAR","BRONX",246,230,65,57,"black",101
"MS 302 LUISA DESSUS CRUZ","BRONX",473,460,101,139,"black",98
"MS 319 MARIE TERESA","NEW YORK",387,372,152,107,"black",12
"MS 324 PATRIA MIRABAL","NEW YORK",339,314,116,103,"black",38
"MS 328 MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY","NEW YORK",207,202,103,75,"black",17
"MS 35 STEPHEN DECATUR","KINGS",220,195,8,69,"black",183
"MS 358","QUEENS",366,315,61,73,"black",90
"MS 390","BRONX",536,511,149,142,"black",69
"MS 394","KINGS",366,317,31,54,"black",261
"MS 442 CARROLL GARDENS SCHOOL FOR INNOVATION","KINGS",301,102,11,105,"black",43
"MS 51 WILLIAM ALEXANDER","KINGS",1134,369,26,232,"black",75
"MS 53 BRIAN PICCOLO","QUEENS",227,201,36,83,"black",120
"MS 582","KINGS",289,242,37,99,"black",70
"MS 594","BRONX",190,182,53,54,"black",55
"MS 61 DR GLADSTONE H ATWELL","KINGS",669,496,30,128,"black",572
"MS 839","KINGS",343,145,8,101,"black",47
"MS 907","KINGS",40,35,1,11,"black",26
"MULLEN ELEMENTARY SCHOOL","ERIE",250,129,1,60,"black",2
"MULTICULTURAL HIGH SCHOOL","KINGS",264,247,219,3,"black",4
"MURRAY HILL ACADEMY","NEW YORK",303,265,12,74,"black",93
"MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS","NEW YORK",186,145,10,40,"black",97
"MUSCOTA","NEW YORK",293,104,18,56,"black",9
"NATIVE AMERICAN MAGNET","ERIE",406,382,135,90,"black",171
"NEIGHBORHOOD CHARTER SCHOOL OF HARLEM","NEW YORK",585,475,45,183,"black",264
"NEIGHBORHOOD SCHOOL","NEW YORK",271,111,4,74,"black",25
"NEIL ARMSTRONG SCHOOL","MONROE",406,263,30,49,"black",79
"NELSON MANDELA HIGH SCHOOL","KINGS",253,204,2,82,"black",210
"NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK","BRONX",651,636,108,210,"black",254
"NEW AMERICAN ACADEMY CHARTER SCHOOL (THE)","KINGS",365,272,8,60,"black",338
"NEW BRIDGES ELEMENTARY SCHOOL","KINGS",380,338,38,106,"black",259
"NEW BUFFALO - CULINARY ART, HOSPITAL","ERIE",361,294,34,113,"black",182
"NEW DAWN CHARTER HIGH SCHOOL","KINGS",216,189,13,104,"black",119
"NEW DESIGN HIGH SCHOOL","NEW YORK",425,331,22,117,"black",144
"NEW DESIGN MIDDLE SCHOOL","NEW YORK",145,139,15,62,"black",91
"NEW DIRECTIONS SECONDARY SCHOOL","BRONX",215,205,81,66,"black",52
"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH HIGH SCHOOL","NEW YORK",1752,429,28,175,"black",123
"NEW HEIGHTS ACADEMY CHARTER SCHOOL","NEW YORK",784,740,111,116,"black",50
"NEW HEIGHTS MIDDLE SCHOOL","KINGS",258,204,20,85,"black",215
"NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL","BRONX",321,285,98,91,"black",97
"NEW SCHOOL FOR LEADERSHIP AND JOURNALISM (THE)","BRONX",749,738,173,181,"black",80
