"school_name","county","total","n_ed","n_ell","n_swd","race","count"
"BELMONT PREPARATORY HIGH SCHOOL","BRONX",391,334,48,91,"amind",2
"BEN FRANKLIN ELEMENTARY SCHOOL","ERIE",496,306,44,110,"amind",3
"BEN FRANKLIN MIDDLE SCHOOL","ERIE",654,367,27,145,"amind",3
"BENJAMIN BANNEKER ACADEMY","KINGS",816,605,12,126,"amind",8
"BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE AND INFORMATION TECHNOLOGY","QUEENS",394,337,50,72,"amind",23
"BENJAMIN N CARDOZO HIGH SCHOOL","QUEENS",3622,2294,163,505,"amind",27
"BENNETT PARK MONTESSORI SCHOOL","ERIE",627,486,15,185,"amind",1
"BIG TREE ELEMENTARY SCHOOL","ERIE",527,196,3,77,"amind",1
"BILINGUAL BICULTURAL SCHOOL (THE)","NEW YORK",287,275,99,86,"amind",0
"BILINGUAL CENTER","ERIE",468,441,277,112,"amind",0
"BLASDELL ELEMENTARY SCHOOL","ERIE",429,256,22,121,"amind",0
"BLUEPRINT MIDDLE SCHOOL","BRONX",669,602,138,143,"amind",15
"BOSTON VALLEY ELEMENTARY SCHOOL","ERIE",229,63,1,48,"amind",0
"BOYS AND GIRLS HIGH SCHOOL","KINGS",430,359,27,121,"amind",9
"BRIARWOOD SCHOOL","MONROE",169,44,1,17,"amind",1
"BRIGHTER CHOICE COMMUNITY SCHOOL","KINGS",250,219,13,61,"amind",2
"BRIGHTON HIGH SCHOOL","MONROE",1171,267,14,149,"amind",2
"BRILLA COLLEGE PREP CS-VERITAS","BRONX",163,153,42,32,"amind",1
"BRILLA COLLEGE PREPARATORY CHARTER SCHOOL","BRONX",572,522,118,131,"amind",3
"BROCKPORT HIGH SCHOOL","MONROE",1050,420,5,139,"amind",2
"BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE)","BRONX",413,315,36,117,"amind",3
"BRONX ACADEMY OF HEALTH CAREERS","BRONX",361,294,50,81,"amind",3
"BRONX ACADEMY OF PROMISE CHARTER SCHOOL","BRONX",599,563,57,96,"amind",3
"BRONX AEROSPACE HIGH SCHOOL","BRONX",308,249,50,82,"amind",3
"BRONX ALLIANCE MIDDLE SCHOOL","BRONX",300,260,18,76,"amind",1
"BRONX ARENA HIGH SCHOOL","BRONX",146,133,10,17,"amind",2
"BRONX BRIDGES HIGH SCHOOL","BRONX",320,274,259,35,"amind",9
"BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL","BRONX",270,235,60,78,"amind",3
"BRONX CENTER FOR SCIENCE AND MATHEMATICS","BRONX",449,394,26,105,"amind",3
"BRONX CHARTER SCH FOR EXCELLENCE 2","BRONX",234,185,38,32,"amind",0
"BRONX CHARTER SCH FOR EXCELLENCE 3","BRONX",234,160,13,26,"amind",1
"BRONX CHARTER SCH FOR EXCELLENCE 4","BRONX",105,76,5,12,"amind",0
"BRONX CHARTER SCHOOL FOR BETTER LEARNING","BRONX",545,449,9,56,"amind",4
"BRONX CHARTER SCHOOL FOR CHILDREN","BRONX",418,388,69,56,"amind",1
"BRONX CHARTER SCHOOL FOR EXCELLENCE","BRONX",805,644,74,95,"amind",0
"BRONX CHARTER SCHOOL FOR THE ARTS","BRONX",431,364,71,105,"amind",6
"BRONX CHARTER SCHOOL-BETTER LRNING 2","BRONX",296,220,10,33,"amind",0
"BRONX COLLABORATIVE HIGH SCHOOL","BRONX",556,455,102,128,"amind",2
"BRONX COLLELGIATE ACADEMY","BRONX",389,347,74,91,"amind",1
"BRONX COMMUNITY CHARTER SCHOOL","BRONX",509,446,88,115,"amind",0
"BRONX COMMUNITY HIGH SCHOOL","BRONX",152,130,12,32,"amind",0
"BRONX COMPASS HIGH SCHOOL","BRONX",395,329,42,99,"amind",5
"BRONX DANCE ACADEMY SCHOOL","BRONX",273,252,17,63,"amind",0
"BRONX DELTA SCHOOL","BRONX",292,212,23,68,"amind",2
"BRONX DESIGN AND CONSTRUCTION ACADEMY","BRONX",462,416,80,139,"amind",9
"BRONX EARLY COLLEGE ACADEMY FOR TEACHING AND LEARNING","BRONX",516,456,49,100,"amind",2
"BRONX ENGINEERING AND TECHNOLOGY ACADEMY","BRONX",374,348,67,95,"amind",3
"BRONX ENVISION ACADEMY","BRONX",419,375,74,106,"amind",7
"BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER SCHOOL","BRONX",422,379,63,57,"amind",3
"BRONX GREEN MIDDLE SCHOOL","BRONX",404,373,89,91,"amind",4
"BRONX GUILD HIGH SCHOOL","BRONX",508,440,76,139,"amind",5
"BRONX HAVEN HIGH SCHOOL","BRONX",151,122,12,50,"amind",2
"BRONX HEALTH SCIENCES HIGH SCHOOL","BRONX",297,213,14,40,"amind",6
"BRONX HIGH SCHOOL FOR MEDICAL SCIENCE","BRONX",422,354,59,89,"amind",7
"BRONX HIGH SCHOOL FOR THE VISUAL ARTS","BRONX",472,372,28,148,"amind",2
"BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS","BRONX",317,237,48,71,"amind",1
"BRONX HIGH SCHOOL OF BUSINESS","BRONX",275,260,103,64,"amind",2
"BRONX HIGH SCHOOL OF SCIENCE","BRONX",3020,1315,1,54,"amind",23
"BRONX HIGH SCHOOL-LAW AND COMMUNITY SERVICE","BRONX",406,369,52,106,"amind",5
"BRONX INTERNATIONAL HIGH SCHOOL","BRONX",407,371,358,14,"amind",2
"BRONX LAB SCHOOL","BRONX",361,311,55,115,"amind",5
"BRONX LATIN SCHOOL","BRONX",588,559,84,152,"amind",1
"BRONX LEADERSHIP ACADEMY HIGH SCHOOL","BRONX",544,478,107,152,"amind",7
"BRONX LEADERSHIP ACADEMY II HIGH SCHOOL","BRONX",510,482,68,144,"amind",2
"BRONX LIGHTHOUSE CHARTER SCHOOL","BRONX",675,621,86,116,"amind",5
"BRONX LITTLE SCHOOL","BRONX",291,257,61,71,"amind",3
"BRONX MATHEMATICS PREPARATORY SCHOOL (THE)","BRONX",230,224,32,78,"amind",6
"BRONX PARK MIDDLE SCHOOL","BRONX",409,384,83,82,"amind",2
"BRONX PREPARATORY CHARTER SCHOOL","BRONX",706,617,60,101,"amind",2
"BRONX REGIONAL HIGH SCHOOL","BRONX",157,144,16,31,"amind",1
"BRONX RIVER HIGH SCHOOL","BRONX",427,348,66,111,"amind",11
"BRONX SCHOOL FOR CONTINUOUS LEARNING","BRONX",317,298,81,316,"amind",0
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE","BRONX",754,661,81,167,"amind",3
"BRONX SCHOOL OF LAW AND FINANCE","BRONX",360,319,72,81,"amind",2
"BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS","BRONX",631,538,77,176,"amind",0
"BRONX THEATRE HIGH SCHOOL","BRONX",353,302,22,83,"amind",3
"BRONX WRITING ACADEMY","BRONX",399,370,97,111,"amind",4
"BRONXDALE HIGH SCHOOL","BRONX",459,368,31,109,"amind",3
"BRONXWOOD PREPARATORY ACADEMY (THE)","BRONX",362,265,34,85,"amind",12
"BROOKLYN ACADEMY HIGH SCHOOL","KINGS",198,169,2,54,"amind",0
"BROOKLYN ACADEMY OF GLOBAL FINANCE (THE)","KINGS",107,103,15,30,"amind",2
"BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT","KINGS",378,288,21,62,"amind",2
"BROOKLYN ARBOR ELEMENTARY SCHOOL","KINGS",582,341,59,140,"amind",0
"BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL","KINGS",327,224,47,96,"amind",0
"BROOKLYN ASCEND CHARTER SCHOOL","KINGS",1538,1275,15,228,"amind",16
"BROOKLYN BRIDGE ACADEMY","KINGS",186,147,22,41,"amind",2
"BROOKLYN BROWNSTONE SCHOOL","KINGS",252,190,3,55,"amind",2
"BROOKLYN CHARTER SCHOOL (THE)","KINGS",209,163,15,34,"amind",3
"BROOKLYN COLLEGE ACADEMY","KINGS",658,474,4,94,"amind",2
"BROOKLYN COLLEGIATE-A COLLEGE BOARD SCHOOL","KINGS",240,212,14,63,"amind",2
"BROOKLYN COMMUNITY HIGH SCH-COMMUNICATION, ARTS & MEDIA","KINGS",425,376,16,115,"amind",3
"BROOKLYN DEMOCRACY ACADEMY","KINGS",196,158,7,54,"amind",5
"BROOKLYN DREAMS CHARTER SCHOOL","KINGS",621,510,72,116,"amind",10
"BROOKLYN EAST COLLEGIATE CHARTER SCHOOL","KINGS",310,241,14,54,"amind",17
"BROOKLYN EMERGING LEADERS ACADEMY CS","KINGS",116,85,3,20,"amind",3
"BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES)","KINGS",99,91,8,38,"amind",0
"BROOKLYN EXCELSIOR CHARTER SCHOOL","KINGS",631,569,25,108,"amind",5
"BROOKLYN FRONTIERS HIGH SCHOOL","KINGS",173,154,8,75,"amind",1
"BROOKLYN GARDENS ELEMENTARY SCHOOL","KINGS",266,254,15,86,"amind",3
"BROOKLYN GENERATION SCHOOL","KINGS",189,146,23,46,"amind",2
"BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY","KINGS",602,498,36,138,"amind",4
"BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY","KINGS",170,142,10,38,"amind",1
"BROOKLYN HIGH SCHOOL OF THE ARTS","KINGS",948,687,10,169,"amind",4
"BROOKLYN INSTITUTE FOR LIBERAL ARTS","KINGS",410,351,20,85,"amind",3
"BROOKLYN INTERNATIONAL HIGH SCHOOL AT WATERS EDGE","KINGS",349,293,256,10,"amind",0
"BROOKLYN LAB SCHOOL","KINGS",449,398,156,91,"amind",7
"BROOKLYN LABORATORY CHARTER SCHOOL","KINGS",687,670,19,220,"amind",8
"BROOKLYN LANDMARK ELEMENTARY SCHOOL","KINGS",338,262,11,71,"amind",2
"BROOKLYN LATIN SCHOOL (THE)","KINGS",701,427,0,19,"amind",9
"BROOKLYN PREPARATORY HIGH SCHOOL","KINGS",527,444,11,100,"amind",5
"BROOKLYN PROSPECT CHARTER SCHOOL","KINGS",773,340,17,160,"amind",1
"BROOKLYN PROSPECT CHARTER-CSD 13","KINGS",701,249,8,99,"amind",6
"BROOKLYN SCHOLARS CHARTER SCHOOL","KINGS",696,611,21,86,"amind",9
"BROOKLYN SCHOOL FOR GLOBAL STUDIES","KINGS",248,202,1,53,"amind",1
"BROOKLYN SCHOOL FOR MATH AND RESEARCH (THE)","KINGS",277,247,27,51,"amind",1
"BROOKLYN SCHOOL FOR MUSIC & THEATER","KINGS",297,238,8,68,"amind",0
"BROOKLYN SCHOOL OF INQUIRY","KINGS",534,149,54,49,"amind",1
"BROOKLYN SCIENCE AND ENGINEERING ACADEMY","KINGS",318,249,9,48,"amind",3
"BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES","KINGS",687,454,37,213,"amind",4
"BROOKLYN STUDIO SECONDARY SCHOOL","KINGS",933,732,146,197,"amind",3
"BROOKLYN TECHNICAL HIGH SCHOOL","KINGS",5942,3582,1,87,"amind",32
"BROOKLYN THEATRE ARTS HIGH SCHOOL","KINGS",344,290,8,59,"amind",5
"BROOKLYN URBAN GARDEN CHARTER SCHOOL","KINGS",286,187,11,76,"amind",0
"BROOKS HILL SCHOOL","MONROE",644,170,79,60,"amind",0
