"school_name","grade","subject","n_tested","school_mean","nys_mean","sd","z_score"
"GENESEE COMMUNITY CHARTER SCHOOL","5","ELA",31,608,599,9.31679134957118,0.965997805716046
"GENESEE COMMUNITY CHARTER SCHOOL","5","Math",31,605,600,10.5199311573998,0.475288281376535
"GENESEE COMMUNITY CHARTER SCHOOL","6","ELA",27,602,598,10.1228499667514,0.395145637161277
"GENESEE COMMUNITY CHARTER SCHOOL","6","Math",27,608,600,10.2858259807726,0.777769331792556
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","3","ELA",72,592,600,8.93549570747314,-0.895305673227425
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","3","Math",70,595,600,9.56336548656681,-0.522828496623208
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","4","ELA",90,597,599,9.0234455676591,-0.221644823477209
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","4","Math",90,598,600,10.3950780607035,-0.192398747591958
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","5","ELA",76,602,599,9.31679134957118,0.321999268572015
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","5","Math",76,598,600,10.5199311573998,-0.190115312550614
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","6","ELA",42,603,598,10.1228499667514,0.493932046451596
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","6","Math",41,595,600,10.2858259807726,-0.486105832370347
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","3","ELA",79,605,600,8.93549570747314,0.559566045767141
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","3","Math",78,611,600,9.56336548656681,1.15022269257106
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","4","ELA",82,603,599,9.0234455676591,0.443289646954417
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","4","Math",84,609,600,10.3950780607035,0.86579436416381
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","5","ELA",72,594,599,9.31679134957118,-0.536665447620026
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","5","Math",71,599,600,10.5199311573998,-0.0950576562753071
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","6","ELA",76,597,598,10.1228499667514,-0.0987864092903193
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","6","Math",76,601,600,10.2858259807726,0.0972211664740695
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","7","ELA",55,600,600,9.83761226983842,0
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","7","Math",56,600,601,10.6493744935478,-0.0939022287746458
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","8","ELA",63,604,600,9.19627210164209,0.434958856783474
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","8","Math",40,593,599,10.9670039364004,-0.547095636583614
"HELLENIC CLASSICAL CHARTER SCHOOL","3","ELA",56,615,600,8.93549570747314,1.67869813730142
"HELLENIC CLASSICAL CHARTER SCHOOL","3","Math",56,621,600,9.56336548656681,2.19587968581747
"HELLENIC CLASSICAL CHARTER SCHOOL","4","ELA",56,612,599,9.0234455676591,1.44069135260186
"HELLENIC CLASSICAL CHARTER SCHOOL","4","Math",56,621,600,10.3950780607035,2.02018684971556
"HELLENIC CLASSICAL CHARTER SCHOOL","5","ELA",57,602,599,9.31679134957118,0.321999268572015
"HELLENIC CLASSICAL CHARTER SCHOOL","5","Math",57,610,600,10.5199311573998,0.950576562753071
"HELLENIC CLASSICAL CHARTER SCHOOL","6","ELA",50,608,598,10.1228499667514,0.987864092903193
"HELLENIC CLASSICAL CHARTER SCHOOL","6","Math",50,615,600,10.2858259807726,1.45831749711104
"HELLENIC CLASSICAL CHARTER SCHOOL","7","ELA",50,605,600,9.83761226983842,0.508253411788725
"HELLENIC CLASSICAL CHARTER SCHOOL","7","Math",50,613,601,10.6493744935478,1.12682674529575
"HELLENIC CLASSICAL CHARTER SCHOOL","8","ELA",48,612,600,9.19627210164209,1.30487657035042
"HELLENIC CLASSICAL CHARTER SCHOOL","8","Math",48,625,599,10.9670039364004,2.370747758529
"INTERNATIONAL CHARTER SCHOOL OF NEW YORK (THE)","3","ELA",56,599,600,8.93549570747314,-0.111913209153428
"INTERNATIONAL CHARTER SCHOOL OF NEW YORK (THE)","3","Math",54,605,600,9.56336548656681,0.522828496623208
"INTERNATIONAL CHARTER SCHOOL OF NEW YORK (THE)","4","ELA",40,599,599,9.0234455676591,0
"INTERNATIONAL CHARTER SCHOOL OF NEW YORK (THE)","4","Math",40,601,600,10.3950780607035,0.0961993737959789
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","3","ELA",47,604,600,8.93549570747314,0.447652836613712
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","3","Math",48,597,600,9.56336548656681,-0.313697097973925
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","4","ELA",41,598,599,9.0234455676591,-0.110822411738604
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","4","Math",40,600,600,10.3950780607035,0
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","5","ELA",42,605,599,9.31679134957118,0.643998537144031
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","5","Math",41,606,600,10.5199311573998,0.570345937651842
