"school","ls_county","p_county"
"HUTH ROAD SCHOOL",0.222395800126747,0.00348151675890496
"INTERNATIONAL PREPARATORY SCHOOL AT GROVER CLEVELAND AT #187",0.68209706086312,0.00655247729624095
"INTERNATIONAL SCHOOL",0.693248297849266,0.00833429129785033
"IROQUOIS INTERMEDIATE SCHOOL",0.422651917949462,0.0014533690243542
"IROQUOIS MIDDLE SCHOOL",0.323125460968197,0.00423694020659189
"IROQUOIS SENIOR HIGH SCHOOL",0.351478515132947,0.0061665544479661
"JOHN A SCIOLE ELEMENTARY SCHOOL",0.2334075911373,0.00353899462992462
"JOHN F KENNEDY MIDDLE SCHOOL",0.114818122233841,0.00243049283168837
"JOHN F KENNEDY SENIOR HIGH SCHOOL",0.125541466530719,0.00337477214129703
"JOHN T WAUGH ELEMENTARY SCHOOL",1.26805580862406,0.00284104905325735
"KAEGEBEIN SCHOOL",0.198462736877343,0.00323518302596358
"KENMORE EAST SENIOR HIGH SCHOOL",0.119335776918908,0.00993546056196936
"KENMORE WEST SENIOR HIGH SCHOOL",0.0847660191254098,0.0114709408306373
"KING CENTER CHARTER SCHOOL",1.29920656102495,0.0035061501321991
"LACKAWANNA HIGH SCHOOL",0.0440742997181627,0.00469676317474915
"LACKAWANNA MIDDLE SCHOOL",0.0424949693062709,0.00329266089698323
"LAFAYETTE INTERNATIONAL SCHOOL",0.817578953892015,0.00235659271180595
"LAKE SHORE MIDDLE SCHOOL",0.543888964653133,0.00424515133102327
"LAKE SHORE SENIOR HIGH SCHOOL",0.498329505653065,0.00596127633718161
"LANCASTER HIGH SCHOOL",0.289716841218675,0.0150920467048758
"LANCASTER MIDDLE SCHOOL",0.282970749823364,0.00683165552690785
"LEDGEVIEW ELEMENTARY SCHOOL",0.249930485850341,0.00386743960717981
"LEONARDO DA VINCI HIGH SCHOOL",0.269067571167946,0.00311201615949288
"LEWIS J BENNETT HS OF INNOVATIVE TEC",0.631038824060187,0.00206099223227629
"LORRAINE ELEMENTARY SCHOOL",0.0843963402427827,0.00581347609741678
"LOVEJOY DISCOVERY SCHOOL #43",0.157287059804192,0.00489383016110226
"MAPLE EAST ELEMENTARY SCHOOL",0.28945880818437,0.0050005747787102
"MAPLE WEST ELEMENTARY SCHOOL",0.16523199611784,0.00516479726733779
"MAPLEMERE ELEMENTARY SCHOOL",0.0311137119178873,0.00298884929302219
"MARILLA PRIMARY SCHOOL",0.400997995658934,0.00187213637035456
"MARTIN LUTHER KING JR #48",0.522850414786396,0.0023401704629432
"MARTIN ROAD ELEMENTARY SCHOOL",0.044142503388267,0.00466391867702363
"MARVA J DANIEL FUTURES PREPARATORY SCHOOL",0.739566904558483,0.00359647250094428
"MARYVALE HIGH SCHOOL",0.0413763458630735,0.00555893124004401
"MARYVALE INTERMEDIATE SCHOOL",0.035502854888921,0.00379353948729739
"MARYVALE MIDDLE SCHOOL",0.0638169939387255,0.00402345097137602
"MARYVALE PRIMARY SCHOOL",0.0779400407765368,0.00422872908216051
"MATH SCIENCE TECHNOLOGY PREPARATORY SCHOOL AT SENECA (THE)",0.816355752334626,0.00599412083490713
"MCKINLEY VOCATIONAL HIGH SCHOOL",0.579058316617558,0.0085067249109093
