"entity_name","ls","p"
"AMBER CHARTER SCHOOL",0.260694621001978,0.00322240737110371
"RIVER EAST ELEMENTARY",0.264234962185522,0.0013722799451088
"NEIGHBORHOOD CHARTER SCHOOL OF HARLEM",0.265550705691639,0.00358385610664576
"PS 161 PEDRO ALBIZU CAMPOS",0.266130604051082,0.00493163105273476
"FACING HISTORY SCHOOL (THE)",0.26875150071426,0.0021809449127622
"PS 198 ISADOR E IDA STRAUS",0.269114287066906,0.00262816114487355
"PROFESSIONAL PERFORMING ARTS HIGH SCHOOL",0.274285759876207,0.00344907861203686
"EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL II",0.275569618983333,0.00255464614781415
"ZETA CHARTER SCHOOL - INWOOD 1",0.277008660245497,0.00102308370907665
"PS 180 HUGO NEWMAN",0.277131143670009,0.00266491864340325
"RENAISSANCE SCHOOL OF THE ARTS",0.282480497128913,0.0010414624583415
"MOTT HALL SCHOOL (THE)",0.283924551527091,0.00184400117623995
"PS 116 MARY LINDLEY MURRAY",0.28817912222748,0.0027568123897275
"JOHN V LINDSAY WILDCAT ACADEMY CHARTER SCHOOL",0.289178633063671,0.0029283473828661
"YORKVILLE COMMUNITY SCHOOL",0.290858470598717,0.0026220348951186
"PS 123 MAHALIA JACKSON",0.290859958494443,0.002573024897079
"LEXINGTON ACADEMY (THE)",0.291595261856315,0.00369412860223486
"INNOVATION DIPLOMA PLUS",0.291667020261193,0.0010537149578514
"NYC ISCHOOL",0.293245340545191,0.00283645363654185
"INSTITUTE FOR COLLABORATIVE EDUCATION",0.293717601048193,0.0029651048813958
"SUCCESS ACADEMY CS - WASHINGTON HGTS",0.295846579438416,0.00308150362673986
"JUDITH S KAYE HIGH SCHOOL",0.29951549149334,0.000563614977455401
"EMMA LAZARUS HIGH SCHOOL",0.299766821254457,0.0018868849245246
"PS 140 NATHAN STRAUS",0.301149698176774,0.00228509115859635
"MOSAIC PREPARATORY ACADEMY",0.30168393609364,0.0016540874338365
"SATELLITE ACADEMY HIGH SCHOOL",0.302151688142993,0.00164796118408155
"HARLEM RENAISSANCE HIGH SCHOOL",0.302388647584917,0.00124362870025485
"URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE (THE)",0.303102402769924,0.00154994118800235
"PS 175 HENRY H GARNET",0.304603463356118,0.00183174867673005
"MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS",0.305552617427711,0.0011394824544207
"PAULA HEDBAVNY SCHOOL",0.30563749417441,0.00339394236424231
"GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK",0.306780218474363,0.00398206234071751
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 4",0.307878773783489,0.00260365614585375
"MUSCOTA",0.309038221497433,0.00179499117820035
"PS/IS 217 ROOSEVELT ISLAND",0.314679929539157,0.00358385610664576
"CASCADES HIGH SCHOOL",0.315129665695855,0.0010047049598118
"PS 36 MARGARET DOUGLAS",0.315886639797258,0.00175823367967065
"PS 28 WRIGHT BROTHERS",0.318636619101793,0.00344907861203686
"PS 129 JOHN H FINLEY",0.31918369536338,0.00216256616349735
"BROOME STREET ACADEMY CHARTER HIGH SCHOOL",0.321024503243631,0.00181949617722015
"KIPP INFINITY CHARTER SCHOOL",0.323015364816422,0.00673274848069006
"HAMILTON GRANGE MIDDLE SCHOOL",0.329148376531973,0.0018011174279553
"BEACON HIGH SCHOOL",0.335755464099142,0.00871765340129386
"PS 46 ARTHUR TAPPAN",0.335861976670752,0.00356547735738091
"RENSAISSANCE CHARTER HIGH SCHOOL FOR INNOVATION",0.335894021356794,0.00275068613997255
"PS 212 MIDTOWN WEST",0.338086169446637,0.0019971574201137
"HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES",0.339078601149604,0.00248113115075475
"PS 142 AMALIA CASTRO",0.342036245027127,0.0018623799255048
"WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING  AND VISUAL ARTS",0.343585672202882,0.00190526367378945
"PS 84 LILLIAN WEBER",0.345249346067447,0.00346745736130171
"URBAN ASSEMBLY FOR THE PERFORMING ARTS",0.345999951237976,0.0023524799059008
"WEST PREP ACADEMY",0.351038020936513,0.0012129974514801
"BARD HIGH SCHOOL EARLY COLLEGE",0.354346740156675,0.00376151734953931
"PS 11 WILLIAM T HARRIS",0.356121023392157,0.00526857478925701
"FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC, ART AND PERFORMING ARTS",0.35640185509814,0.0169452068221917
"DOES PUENTES ELEMENTARY SCHOOL",0.357576719770851,0.0025240148990394
"PS 185 EARLY CHILDHOOD DISCOVERY AND DESIGN MAGNET SCHOOL (THE)",0.359895469991634,0.0018256224269751
"MS 328 MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY",0.366289220935578,0.00126813369927465
"KIPP SUCCESS THROUGH TEAMWORK ACHIEVE & RESPON COL PREP CHARTER SCH",0.366597884171299,0.00613237600470496
"PS 194 COUNTEE CULLEN",0.366638094502895,0.0011517349539306
"PS 149 SOJOURNER TRUTH",0.368361550667212,0.00129263869829445
"PROFESSOR JUAN BOSCH PUBLIC SCHOOL",0.368855723597796,0.00174598118016075
"IS 286 RENAISSANCE LEADERSHIP ACADEMY",0.369661261909189,0.000771907469123701
"MS 324 PATRIA MIRABAL",0.372463685999491,0.00207679866692805
"SUCCESS ACADEMY CHARTER-HARLEM 6",0.380354961360374,0.0013845324446187
"OPPORTUNITY CHARTER SCHOOL",0.385085100006271,0.00297123113115075
"MS 297",0.386272156659891,0.00342457361301706
"JHS 104 SIMON BARUCH",0.390480176537702,0.00684302097627916
"HIGH SCHOOL FOR LAW & PUBLIC SERVICE",0.39397831903566,0.0029528523818859
"INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES",0.39631290815322,0.0024750049009998
"TAG YOUNG SCHOLARS",0.402808723352215,0.00363899235444031
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL",0.40531670631143,0.0017276024308959
"ESPERANZA PREPATORY ACADEMY",0.407425152915087,0.00349808861007646
"HIGH SCHOOL MATH SCIENCE AND ENGINEERING AT CCNY",0.4110923032839,0.0030018623799255
"MS 243 CENTER SCHOOL",0.412275852886877,0.001470299941188
"HARLEM PREP CHARTER SCHOOL",0.417454505506894,0.00582606351695746
"FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL",0.419592928891657,0.002205449911782
"PS 452",0.431837019177677,0.0019849049206038
"LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL",0.432201401486425,0.00235860615565575
"HIGH SCHOOL FOR MEDIA & COMMUNICATIONS",0.433226924538686,0.00237085865516565
"YORKVILLE EAST MIDDLE SCHOOL",0.434474395545535,0.0014090374436385
"PS 192 JACOB H SCHIFF",0.439956213497666,0.00211355616545775
"RIVER SCHOOL (THE)",0.443791228413909,0.00185625367574985
"HARBOR SCIENCE AND ARTS CHARTER SCHOOL",0.444236221714647,0.0017276024308959
"JHS 167 ROBERT F WAGNER",0.455512831864451,0.00844197216232111
"PS 197 JOHN B RUSSWURM",0.461829443236409,0.00161120368555185
"PS 155 WILLIAM PACA",0.468060595410261,0.00134164869633405
"NEW DESIGN MIDDLE SCHOOL",0.469768430370309,0.000888306214467751
"KIPP NYC WASHINGTON HEIGHTS ACADEMY CHARTER SCHOOL",0.473310384185743,0.00643256224269751
"ST HOPE LEADERSHIP ACADEMY CHARTER SCHOOL",0.47472764411035,0.001837874926485
"JHS 143 ELEANOR ROOSEVELT",0.475080769495839,0.00151318368947265
"SCHOOL IN THE SQUARE PUBLIC CS",0.479779675509572,0.00184400117623995
"COLLEGE ACADEMY (THE)",0.481598671270323,0.0025975298960988
"SPECIAL MUSIC SCHOOL",0.482665889913145,0.00191751617329935
"PS 242 YOUNG DIPLOMATS MAGNET ACADEMY (THE)",0.485020193126822,0.000759654969613801
"PS 333 MANHATTAN SCHOOL FOR CHILDREN",0.485260671372969,0.00462531856498726
"COMMUNITY HEALTH ACADEMY OF THE HEIGHTS",0.485306090117892,0.00428224857871006
"PS 1 ALFRED E SMITH",0.490575706299872,0.00163570868457165
"EAST VILLAGE COMMUNITY SCHOOL (THE)",0.492965385743508,0.00181949617722015
"PS 200 JAMES MCCUNE SMITH SCHOOL (THE)",0.496366130224863,0.0019236424230543
"CITY COLLEGE ACADEMY OF THE ARTS",0.500638626434422,0.00374313860027446
"JHS 54 BOOKER T WASHINGTON",0.503027675100097,0.00532371103705156
"WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL",0.503632318780815,0.00512154479513821
"HARLEM VILLAGE ACADEMY LEADERSHIP CHARTER SCHOOL",0.504919326687201,0.00403719858851206
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2",0.505150917849955,0.00433125857674966
"DEMOCRACY PREP HARLEM CHARTER SCHOOL",0.508346710554567,0.00632228974710841
"PS 92 MARY MCLEOD BETHUNE",0.51023600899182,0.00147642619094295
