"school_name","county","total","n_amind","n_asian","n_black","n_hisp","n_white","n_multi","n_ed","n_ell","n_swd"
"HARLEM LINK CHARTER SCHOOL","NEW YORK",392,4,2,257,124,4,1,349,29,107
"HARLEM PREP CHARTER SCHOOL","NEW YORK",951,7,11,538,382,6,7,823,58,205
"HARLEM RENAISSANCE HIGH SCHOOL","NEW YORK",203,3,4,100,90,6,0,178,30,65
"HARLEM VILLAGE ACADEMY CHARTER SCHOOL EHVACS","NEW YORK",852,9,3,648,168,9,15,679,30,173
"HARLEM VILLAGE ACADEMY LEADERSHIP CHARTER SCHOOL","NEW YORK",659,6,2,415,219,5,12,559,5,147
"HAROLD O BRUMSTED ELEMENTARY SCHOOL","ERIE",307,0,1,0,9,290,7,116,0,52
"HARRIET ROSS TUBMAN ACADEMY","ERIE",454,3,80,256,55,46,14,439,144,108
"HARRIET TUBMAN CHARTER SCHOOL","BRONX",682,8,1,418,246,5,4,601,64,68
"HARRIS HILL ELEMENTARY SCHOOL","MONROE",479,1,18,9,19,405,27,104,2,74
"HARRIS HILL ELEMENTARY SCHOOL","ERIE",479,1,18,9,19,405,27,104,2,74
"HARRIS HILL ELEMENTARY SCHOOL","MONROE",453,0,18,9,13,397,16,73,15,38
"HARRIS HILL ELEMENTARY SCHOOL","ERIE",453,0,18,9,13,397,16,73,15,38
"HARRY S TRUMAN HIGH SCHOOL","BRONX",2078,33,66,1041,869,64,5,1525,174,611
"HARVEST COLLEGIATE HIGH SCHOOL","NEW YORK",458,3,30,97,226,83,19,311,12,120
"HARVEY AUSTIN SCHOOL #97","ERIE",518,0,23,411,48,25,11,487,25,107
"HARVEY MILK HIGH SCHOOL","NEW YORK",67,0,1,12,46,8,0,59,3,26
"HAWTREE CREEK MIDDLE SCHOOL","QUEENS",377,45,124,130,69,7,2,340,10,93
"HEALTH OPPORTUNITIES HIGH SCHOOL","BRONX",513,12,4,186,305,5,1,454,69,113
"HEALTH SCIENCES CHARTER SCHOOL","ERIE",449,4,1,390,29,11,14,449,14,36
"HEBREW LANGUAGE ACADEMY CHARTER 2","KINGS",233,0,12,49,27,136,9,183,55,71
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","KINGS",720,1,12,403,38,260,6,498,37,141
"HEIM ELEMENTARY SCHOOL","ERIE",602,1,75,11,29,454,32,99,56,68
"HEIM MIDDLE SCHOOL","ERIE",679,1,79,24,20,526,29,114,20,80
"HEKETI COMMUNITY CHARTER SCHOOL","BRONX",268,4,1,69,191,1,2,258,53,44
"HELENDALE ROAD PRIMARY SCHOOL","MONROE",320,0,8,64,77,144,27,188,22,24
"HELLENIC CLASSICAL CHARTER SCHOOL","KINGS",477,9,17,69,218,152,12,261,12,51
"HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES","NEW YORK",198,5,18,53,114,6,2,164,24,61
"HENRY V BURGER MIDDLE SCHOOL","MONROE",591,0,78,106,41,332,34,255,17,64
"HERBERT H LEHMAN HIGH SCHOOL","BRONX",795,13,114,217,376,75,0,637,104,203
"HERBERT HOOVER ELEMENTARY SCHOOL","ERIE",613,2,19,42,54,463,33,290,27,124
"HERBERT HOOVER MIDDLE SCHOOL","ERIE",841,5,24,56,89,619,48,448,25,137
"HERITAGE HEIGHTS ELEMENTARY SCHOOL","ERIE",396,2,78,65,17,212,22,255,108,19
"HERITAGE SCHOOL (THE)","NEW YORK",318,0,13,83,207,11,4,287,23,71
"HERMAN BADILLO COMMUNITY SCHOOL","ERIE",654,0,9,42,583,15,5,626,421,146
"HERO (HEALTH, EDUCATION AND RESEARCH OCCUPATIONS) HIGH SCHOOL","BRONX",531,3,8,205,307,4,4,431,54,114
"HIGH SCH-CONSTRUCTION, TRADES, ENGINEERING & ARCHITECTURE","QUEENS",1068,43,330,96,389,127,83,662,17,185
"HIGH SCHOOL FOR ARTS AND BUSINESS","QUEENS",776,6,69,60,589,39,13,552,76,136
"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY","NEW YORK",336,2,10,124,178,14,8,272,39,85
"HIGH SCHOOL FOR CIVIL RIGHTS","KINGS",219,2,4,148,61,3,1,186,26,57
"HIGH SCHOOL FOR COMMUNITY LEADERSHIP","QUEENS",463,19,104,165,130,21,24,359,69,71
"HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES","NEW YORK",403,0,367,9,14,9,4,358,54,14
"HIGH SCHOOL FOR ENERGY AND TECHNOLOGY","BRONX",416,2,15,99,293,5,2,345,58,114
"HIGH SCHOOL FOR ENVIRONMENTAL STUDIES","NEW YORK",1149,10,127,184,747,74,7,954,99,226
"HIGH SCHOOL FOR EXCELLENCE AND INNOVATION","NEW YORK",174,1,0,14,158,1,0,164,84,36
"HIGH SCHOOL FOR GLOBAL CITIZENSHIP (THE)","KINGS",212,1,9,154,40,6,2,192,31,36
"HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES","NEW YORK",405,0,8,61,327,5,4,397,156,77
"HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICES","NEW YORK",1830,20,403,287,971,140,9,1370,77,265
"HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA","KINGS",237,1,4,193,26,11,2,170,22,49
"HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY (THE)","NEW YORK",304,1,75,70,143,10,5,232,36,60
"HIGH SCHOOL FOR LANGUAGE AND INNOVATION","BRONX",369,4,75,22,197,70,1,367,290,16
"HIGH SCHOOL FOR LAW & PUBLIC SERVICE","NEW YORK",482,1,3,66,403,9,0,435,186,125
"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE","NEW YORK",430,4,20,146,246,10,4,384,26,86
"HIGH SCHOOL FOR MEDIA & COMMUNICATIONS","NEW YORK",387,1,3,38,337,5,3,372,197,67
"HIGH SCHOOL FOR MEDICAL PROFESSIONS","KINGS",465,3,14,367,61,17,3,452,21,74
"HIGH SCHOOL FOR SERVICE AND LEARNING AT ERASMUS","KINGS",290,2,7,222,49,7,3,227,41,61
"HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS","BRONX",416,1,12,61,321,17,4,372,105,97
"HIGH SCHOOL FOR VIOLIN AND DANCE","BRONX",222,1,1,75,142,3,0,205,38,66
"HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT","KINGS",456,2,17,359,64,11,3,366,38,119
"HIGH SCHOOL MATH SCIENCE AND ENGINEERING AT CCNY","NEW YORK",490,7,146,42,82,147,66,204,1,28
"HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE","BRONX",412,3,91,16,43,241,18,105,0,13
"HIGH SCHOOL OF APPLIED COMMUNICATIONS","QUEENS",406,0,58,35,252,53,8,307,29,77
"HIGH SCHOOL OF ARTS AND TECHNOLOGY","NEW YORK",498,5,30,161,275,18,9,426,42,132
"HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY","BRONX",538,8,44,189,289,8,0,415,45,141
"HIGH SCHOOL OF CONTEMPORARY ARTS","BRONX",388,3,7,156,208,13,1,314,66,99
"HIGH SCHOOL OF ECONOMICS & FINANCE","NEW YORK",742,5,161,179,333,60,4,575,46,153
"HIGH SCHOOL OF ENTERPRISE, BUSINESS & TECHNOLOGY","KINGS",834,5,48,252,513,15,1,726,103,143
"HIGH SCHOOL OF FASHION INDUSTRIES (THE)","NEW YORK",1596,10,87,501,910,84,4,1298,51,281
"HIGH SCHOOL OF HOSPITALITY MANAGEMENT","NEW YORK",378,4,19,100,247,7,1,341,35,96
"HIGH SCHOOL OF SPORTS MANAGEMENT","KINGS",246,4,16,123,72,29,2,187,31,55
"HIGH SCHOOL OF TELECOMMUNICATIONS ARTS AND TECHNOLOGY","KINGS",1233,5,256,77,614,245,36,965,105,252
"HIGH SCHOOL OF WORLD CULTURES","BRONX",456,6,42,41,346,21,0,447,360,20
"HIGHBRIDGE GREEN SCHOOL (THE)","BRONX",379,2,1,79,290,6,1,368,84,101
"HIGHGATE HEIGHTS","ERIE",394,0,17,337,18,13,9,361,15,74
"HIGHLAND ELEMENTARY SCHOOL","ERIE",339,5,4,1,16,304,9,159,1,57
"HIGHLAND ELEMENTARY SCHOOL","ERIE",760,1,23,41,108,540,47,318,11,106
"HIGHLAND PARK COMMUNITY SCHOOL","KINGS",347,12,11,51,268,5,0,316,50,68
"HILLCREST HIGH SCHOOL","QUEENS",3244,141,1055,860,1080,104,4,2704,555,384
"HILLSIDE ARTS AND LETTERS ACADEMY","QUEENS",445,21,87,184,132,11,10,334,62,86
"HILLVIEW ELEMENTARY SCHOOL","ERIE",535,0,5,8,6,501,15,76,8,69
"HILTON HIGH SCHOOL","MONROE",1490,1,19,38,78,1321,33,395,10,161
"HOLLAND JUNIOR/SENIOR HIGH SCHOOL","ERIE",268,1,0,1,3,263,0,76,0,50
"HOLLAND MIDDLE SCHOOL","ERIE",289,2,0,3,8,272,4,98,0,48
"HOLMES ELEMENTARY SCHOOL","ERIE",314,3,16,41,56,162,36,266,24,105
"HOLMES ROAD ELEMENTARY SCHOOL","MONROE",326,2,19,39,56,189,21,209,33,39
"HONEOYE FALLS-LIMA MIDDLE SCHOOL","MONROE",502,0,10,4,16,459,13,98,3,74
"HONEOYE FALLS-LIMA SENIOR HIGH SCHOOL","MONROE",735,3,19,5,18,673,17,116,1,100
"HOSTOS-LINCOLN ACADEMY OF SCIENCE","BRONX",556,4,12,129,404,7,0,452,20,114
"HS 560 CITY-AS-SCHOOL","NEW YORK",520,2,20,183,224,81,10,349,16,130
"HS FOR LAW ENFORCEMENT AND PUBLIC SAFETY","QUEENS",464,12,57,266,117,8,4,328,32,99
"HS FOR PUBLIC SERVICE-HEROES OF TOMORROW","KINGS",463,2,17,358,72,6,8,357,7,83
"HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES","NEW YORK",476,4,30,119,300,15,8,387,42,126
"HUMANITIES AND ARTS MAGNET HIGH SCHOOL","QUEENS",438,11,26,328,66,6,1,368,52,72
"HUMANITIES PREPARATORY ACADEMY","NEW YORK",232,2,16,49,144,16,5,189,7,48
"HUNTERS POINT COMMUNITY MIDDLE SCHOOL","QUEENS",428,3,59,42,210,104,10,232,14,108
"HUNTS POINT SCHOOL (THE)","BRONX",300,0,5,81,209,4,1,277,72,101
"HUTCHINSON CENTRAL TECHNICAL HIGH SCHOOL","ERIE",1153,17,156,441,185,334,20,779,18,125
"HUTH ROAD SCHOOL","ERIE",424,1,16,6,20,344,37,114,14,51
"HYDE LEADERSHIP CHARTER SCHOOL","BRONX",976,1,5,279,680,8,3,892,137,237
"HYDE LEADERSHIP CHARTER SCHOOL OF BROOKLYN","KINGS",456,1,3,321,127,3,1,395,35,77
"ICAHN CHARTER SCHOOL 1","BRONX",332,1,3,167,161,0,0,266,16,23
"ICAHN CHARTER SCHOOL 2","BRONX",325,4,17,102,188,11,3,177,15,35
"ICAHN CHARTER SCHOOL 3","BRONX",322,3,11,202,97,7,2,263,8,23
"ICAHN CHARTER SCHOOL 4","BRONX",317,3,10,197,93,8,6,199,8,34
"ICAHN CHARTER SCHOOL 5","BRONX",319,2,14,184,100,17,2,228,3,21
"ICAHN CHARTER SCHOOL 6","BRONX",355,1,4,197,150,2,1,297,18,35
"ICAHN CHARTER SCHOOL 7","BRONX",263,1,10,123,125,3,1,195,15,24
"IMAGINE ME LEADERSHIP CHARTER SCHOOL","KINGS",225,5,2,179,34,1,4,184,7,33
"IN-TECH ACADEMY (MS/HS 368)","BRONX",1016,10,42,82,839,38,5,876,169,230
"INDEPENDENCE HIGH SCHOOL","NEW YORK",267,1,3,84,160,18,1,229,18,60
"INDIAN LANDING ELEMENTARY SCHOOL","MONROE",498,1,10,16,30,408,33,101,10,25
"INFORMATION TECHNOLOGY HIGH SCHOOL","QUEENS",1004,9,210,111,598,72,4,755,71,199
"INNOVATION DIPLOMA PLUS","NEW YORK",172,0,2,62,105,3,0,140,10,25
"INSTITUTE FOR COLLABORATIVE EDUCATION","NEW YORK",484,1,33,108,93,231,18,140,2,84
"INSTITUTE FOR HEALTH PROFESSIONALS AT CAMBRIA HEIGHTS","QUEENS",404,12,43,283,55,8,3,337,35,40
"INTEGRATED ARTS AND TECHNOLOGY HIGH SCHOOL","MONROE",813,2,37,366,323,84,1,747,198,228
"INTERNATIONAL CHARTER SCHOOL OF NY","KINGS",343,1,16,111,67,115,33,124,9,55
"INTERNATIONAL COMMUNITY HIGH SCHOOL","BRONX",400,4,17,65,300,10,4,392,312,31
"INTERNATIONAL HIGH SCHOOL AT LAFAYETTE","KINGS",335,1,113,12,124,84,1,297,290,9
"INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE","QUEENS",510,0,117,13,331,49,0,359,332,11
"INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS","KINGS",346,7,60,84,166,29,0,287,301,20
"INTERNATIONAL HIGH SCHOOL AT UNION SQUARE","NEW YORK",345,3,56,68,183,35,0,301,294,12
"INTERNATIONAL HIGH SCHOOL FOR HEALTH SCIENCES","QUEENS",261,2,64,10,168,17,0,243,191,11
"INTERNATIONAL LEADERSHIP CHARTER SCHOOL","BRONX",355,0,6,43,283,9,14,314,31,64
"INTERNATIONAL PREPARATORY SCHOOL AT GROVER CLEVELAND AT #187","ERIE",798,5,200,343,164,73,13,730,313,135
"INTERNATIONAL SCHOOL","ERIE",1015,0,384,351,91,165,24,970,531,143
"INTERNATIONAL SCHOOL FOR LIBERAL ARTS","BRONX",517,0,1,1,515,0,0,508,363,47
"INWOOD ACADEMY FOR LEADERSHIP CHARTER SCHOOL","NEW YORK",916,2,4,45,848,7,10,811,137,229
"INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES","NEW YORK",404,3,2,49,340,6,4,369,50,104
"IRONDEQUOIT HIGH SCHOOL","MONROE",1181,5,37,139,143,816,41,439,27,150
"IROQUOIS INTERMEDIATE SCHOOL","ERIE",177,0,1,1,0,173,2,43,0,41
"IROQUOIS MIDDLE SCHOOL","ERIE",529,1,81,14,35,379,19,79,3,63
"IROQUOIS MIDDLE SCHOOL","MONROE",529,1,81,14,35,379,19,79,3,63
"IROQUOIS MIDDLE SCHOOL","ERIE",516,2,6,3,8,477,20,112,0,91
"IROQUOIS MIDDLE SCHOOL","MONROE",516,2,6,3,8,477,20,112,0,91
"IROQUOIS MIDDLE SCHOOL","ERIE",418,0,17,28,44,308,21,137,12,47
"IROQUOIS MIDDLE SCHOOL","MONROE",418,0,17,28,44,308,21,137,12,47
"IROQUOIS SENIOR HIGH SCHOOL","ERIE",751,3,9,4,13,716,6,158,2,121
"IRWIN ALTMAN MIDDLE SCHOOL 172","QUEENS",979,16,612,80,158,102,11,593,58,176
"IS 10 HORACE GREELEY","QUEENS",798,4,165,49,453,125,2,616,136,156
"IS 117 JOSEPH H WADE","BRONX",487,2,5,91,383,6,0,466,175,121
"IS 119 GLENDALE (THE)","QUEENS",1269,13,341,25,377,499,14,937,30,129
"IS 125 THOMAS J MCCANN WOODSIDE","QUEENS",1506,7,588,30,798,80,3,1138,245,266
"IS 136 CHARLES O DEWEY","KINGS",513,3,44,12,424,27,3,480,189,126
"IS 141 STEINWAY (THE)","QUEENS",1182,9,230,43,431,436,33,691,108,174
"IS 145 JOSEPH PULITZER","QUEENS",1713,3,143,34,1501,30,2,1549,325,251
"IS 171 ABRAHAM LINCOLN","KINGS",414,10,34,36,330,4,0,394,118,77
"IS 181 PABLO CASALS","BRONX",895,22,45,538,246,33,11,717,31,216
"IS 187 CHRISTA MCAULIFFE SCHOOL (THE)","KINGS",952,0,661,12,54,218,7,583,25,97
"IS 192 LINDEN (THE)","QUEENS",492,30,22,383,51,2,4,357,40,115
"IS 204 OLIVER W HOLMES","QUEENS",460,1,75,88,267,28,1,411,81,128
"IS 206 ANN MERSEREAU","BRONX",228,2,5,28,191,2,0,213,81,71
"IS 211 JOHN WILSON","KINGS",431,5,7,355,44,16,4,356,42,119
"IS 219 NEW VENTURE SCHOOL","BRONX",352,1,2,136,209,3,1,334,86,124
"IS 227 LOUIS ARMSTRONG","QUEENS",1588,11,218,128,799,421,11,1110,65,226
"IS 228 DAVID A BOODY","KINGS",1403,2,411,71,357,553,9,1098,177,238
"IS 229 ROLAND PATTERSON","BRONX",239,3,1,90,144,0,1,225,36,81
"IS 230","QUEENS",1258,11,444,3,734,57,9,960,170,167
"IS 232","BRONX",505,0,0,112,387,5,1,491,175,119
"IS 237","QUEENS",1382,2,1079,69,205,18,9,1117,284,188
"IS 238 SUSAN B ANTHONY ACADEMY","QUEENS",1298,55,384,466,360,26,7,1087,207,194
"IS 25 ADRIEN BLOCK","QUEENS",1049,4,579,20,248,186,12,587,123,160
"IS 250 ROBERT F KENNEDY COMMUNITY MIDDLE SCHOOL (THE)","QUEENS",363,17,114,91,113,27,1,315,54,77
"IS 254","BRONX",490,1,12,80,392,4,1,440,184,148
"IS 281 JOSEPH B CAVALLARO","KINGS",1353,5,557,82,320,385,4,1128,228,265
"IS 285 MEYER LEVIN","KINGS",748,7,7,694,29,5,6,579,25,168
"IS 286 RENAISSANCE LEADERSHIP ACADEMY","NEW YORK",126,3,3,71,45,4,0,111,11,56
"IS 289","NEW YORK",283,1,138,12,41,84,7,149,14,66
"IS 303 HERBERT S EISENBERG","KINGS",568,1,124,56,218,162,7,428,94,96
"IS 303 LEADERSHIP & COMM SERVICE","BRONX",322,2,4,88,225,2,1,317,44,115
"IS 313 SCHOOL OF LEADERSHIP DEVELOPMENT","BRONX",299,2,1,79,213,2,2,278,110,77
"IS 318 EUGENO MARIA DE HOSTOS","KINGS",1208,4,94,202,688,214,6,774,66,239
"IS 318 MATH, SCIENCE & TECH THROUGH ARTS SCHOOL","BRONX",255,1,2,84,165,2,1,241,34,79
"IS 338","KINGS",213,1,26,81,76,25,4,167,13,30
"IS 339","BRONX",480,1,8,138,329,3,1,450,140,131
"IS 340","KINGS",204,6,1,149,41,3,4,170,5,45
"IS 347 SCHOOL OF HUMANITIES","KINGS",316,0,2,14,296,4,0,299,62,77
"IS 349 MATH, SCIENCE AND TECHNOLOGY","KINGS",326,0,2,43,277,4,0,318,65,75
"IS 364 GATEWAY","KINGS",331,2,3,229,86,9,2,276,6,98
"IS 381","KINGS",254,3,31,143,47,29,1,198,30,52
"IS 392","KINGS",311,2,8,242,48,1,10,240,4,51
"IS 5 THE WALTER CROWLEY INTERMEDIATE SCHOOL","QUEENS",1791,14,721,29,994,30,3,1390,316,357
"IS 528 BEA FULLER RODGERS SCHOOL","NEW YORK",230,0,2,2,223,3,0,222,61,45
"IS 59 SPRINGFIELD GARDENS","QUEENS",603,21,11,524,38,6,3,400,20,118
"IS 61 LEONARDO DA VINCI","QUEENS",2235,5,133,56,1994,44,3,2088,709,491
"IS 68 ISAAC BILDERSEE","KINGS",289,2,12,224,28,21,2,236,67,86
"IS 73 FRANK SANSIVIERI INTERMEDIATE SCHOOL  (THE)","QUEENS",1978,7,576,15,1147,228,5,1337,266,402
"IS 77","QUEENS",934,2,87,19,740,85,1,846,192,278
"IS 93 RIDGEWOOD","QUEENS",1126,5,86,28,810,194,3,1016,151,257
"IS 96 SETH LOW","KINGS",794,3,265,66,222,231,7,607,231,183
"IS 98 BAY ACADEMY","KINGS",1562,9,441,40,136,900,36,814,27,151
"ISAAC NEWTON MS FOR MATH AND SCIENCE","NEW YORK",239,2,13,52,168,4,0,211,31,75
"IT TAKES A VILLAGE ACADEMY","KINGS",645,8,12,576,40,8,1,465,107,99
"IVAN L GREEN PRIMARY SCHOOL","MONROE",353,0,13,62,66,181,31,228,26,34
"JACQUELINE KENNEDY-ONASSIS HIGH SCHOOL","NEW YORK",467,3,29,117,302,15,1,369,47,97
"JAMAICA CHILDREN'S SCHOOL","QUEENS",198,4,5,130,53,6,0,176,12,63
"JAMAICA GATEWAY TO THE SCIENCES","QUEENS",493,21,186,170,78,14,24,371,50,76
"JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LRNING","NEW YORK",241,1,4,91,132,12,1,197,20,78
"JAMES MADISON HIGH SCHOOL","KINGS",3808,19,770,580,645,1784,10,2855,517,609
"JAMES MONROE HIGH SCHOOL","MONROE",825,0,9,320,460,35,1,778,327,186
"JAMES WELDON JOHNSON SCHOOL","NEW YORK",770,8,34,195,517,12,4,684,89,233
"JEAN NUZZI INTERMEDIATE SCHOOL","QUEENS",1164,59,376,470,212,39,8,788,81,193
"JEFFERSON AVENUE SCHOOL","MONROE",629,0,7,29,16,558,19,122,3,69
"JEFFERSON ROAD SCHOOL","MONROE",352,0,13,7,23,275,34,10,0,48
"JHS 104 SIMON BARUCH","NEW YORK",1117,6,387,84,197,391,52,483,53,185
"JHS 118 WILLIAM W NILES","BRONX",1107,12,174,223,671,25,2,1000,134,259
"JHS 123 JAMES M KIERNAN","BRONX",419,5,13,84,311,4,2,364,105,105
"JHS 127 CASTLE HILL (THE)","BRONX",845,19,269,189,341,22,5,634,111,170
"JHS 131 ALBERT EINSTEIN","BRONX",477,4,16,158,295,3,1,401,48,149
"JHS 14 SHELL BANK","KINGS",527,3,82,190,82,165,5,465,135,130
"JHS 143 ELEANOR ROOSEVELT","NEW YORK",247,1,3,8,223,10,2,229,145,77
"JHS 144 MICHELANGELO","BRONX",482,2,30,283,148,19,0,378,52,121
"JHS 151 LOU GEHRIG","BRONX",234,1,1,57,169,6,0,226,72,64
"JHS 157 STEPHEN A HALSEY","QUEENS",1655,11,405,137,387,669,46,904,172,253
"JHS 162 WILLOUGHBY (THE)","KINGS",319,2,14,11,287,5,0,282,50,71
"JHS 167 ROBERT F WAGNER","NEW YORK",1378,8,250,96,225,733,66,427,40,251
"JHS 185 EDWARD BLEEKER","QUEENS",1513,3,877,27,451,148,7,1128,203,224
"JHS 189 DANIEL CARTER BEARD","QUEENS",774,2,501,23,227,17,4,609,208,147
"JHS 190 RUSSELL SAGE","QUEENS",1078,12,350,76,292,320,28,468,106,161
"JHS 194 WILLIAM CARR","QUEENS",1273,8,547,17,355,338,8,701,112,203
"JHS 201 DYKER HEIGHTS (THE)","KINGS",1652,1,898,9,263,479,2,1208,159,233
"JHS 202 ROBERT H GODDARD","QUEENS",1100,48,372,87,517,67,9,848,79,189
"JHS 210 ELIZABETH BLACKWELL","QUEENS",1873,45,545,85,1117,73,8,1542,295,334
"JHS 216 GEORGE J RYAN","QUEENS",1513,10,1000,72,210,203,18,1051,100,191
"JHS 217 ROBERT A VAN WYCK","QUEENS",1664,68,568,262,690,65,11,1208,275,293
"JHS 218 JAMES P SINNOTT","KINGS",427,6,75,181,156,7,2,413,104,117
"JHS 22 JORDAN L MOTT","BRONX",423,1,3,86,324,8,1,411,121,102
"JHS 220 JOHN J PERSHING","KINGS",1526,2,769,18,651,81,5,1319,489,259
"JHS 223 MONTAUK (THE)","KINGS",936,3,545,17,256,115,0,906,260,168
"JHS 226 VIRGIL I GRISSON","QUEENS",942,119,286,325,187,20,5,808,70,195
"JHS 227 EDWARD B SHALLOW","KINGS",1620,7,933,10,479,189,2,1471,453,253
"JHS 234 ARTHUR W CUNNINGHAM","KINGS",1767,22,419,292,259,761,14,1269,170,283
"JHS 259 WILLIAM MCKINLEY","KINGS",1886,2,857,13,366,630,18,1495,221,239
"JHS 278 MARINE PARK","KINGS",1202,9,130,482,211,355,15,841,46,220
"JHS 291 ROLAND HAYES","KINGS",291,1,2,41,243,4,0,278,85,81
"JHS 292 MARGARET S DOUGLAS","KINGS",556,8,81,273,175,17,2,527,84,145
"JHS 383 PHILIPPA SCHUYLER","KINGS",912,4,42,316,522,19,9,752,53,158
"JHS 50 JOHN D WELLS","KINGS",324,3,4,68,243,6,0,294,57,103
"JHS 52 INWOOD","NEW YORK",255,2,0,9,243,1,0,248,117,66
"JHS 54 BOOKER T WASHINGTON","NEW YORK",869,4,100,69,136,488,72,174,10,129
"JHS 57 WHITELAW REID","KINGS",161,3,3,101,50,4,0,153,13,56
"JHS 62 DITMAS","KINGS",1204,5,399,208,419,167,6,1037,262,239
"JHS 67 LOUIS PASTEUR","QUEENS",951,4,588,34,125,186,14,419,36,101
"JHS 74 NATHANIEL HAWTHORNE","QUEENS",1156,2,767,40,131,194,22,547,74,179
"JHS 78 ROY H MANN","KINGS",573,7,39,377,63,78,9,431,36,143
"JHS 8 RICHARD S GROSSLEY","QUEENS",386,44,71,155,106,7,3,333,49,74
"JHS 80 THE MOSHOLU PARKWAY","BRONX",657,6,72,90,464,23,2,589,202,179
"JHS 88 PETER ROUGET","KINGS",1454,6,287,181,826,143,11,1170,201,346
"JHS 98 HERMAN RIDDER","BRONX",261,5,9,67,176,3,1,242,91,74
"JILL CHAIFETZ TRANSFER HIGH SCHOOL","BRONX",205,1,4,59,136,2,3,170,18,60
"JOHANNA PERRIN MIDDLE SCHOOL","MONROE",614,0,20,24,28,520,22,134,17,68
"JOHN A SCIOLE ELEMENTARY SCHOOL","ERIE",431,2,12,6,16,378,17,125,12,69
"JOHN ADAMS HIGH SCHOOL","QUEENS",2352,100,843,573,759,65,12,1760,320,330
"JOHN BOWNE HIGH SCHOOL","QUEENS",3523,42,1044,673,1526,194,44,2626,602,536
"JOHN DEWEY HIGH SCHOOL","KINGS",2189,15,667,691,505,279,32,1820,374,292
"JOHN ERICSSON MIDDLE SCHOOL 126","KINGS",370,0,2,80,253,35,0,319,33,100
"JOHN F KENNEDY MIDDLE SCHOOL","ERIE",722,2,114,167,135,255,49,651,116,107
"JOHN F KENNEDY MIDDLE SCHOOL","ERIE",681,0,103,1,118,450,9,146,15,100
"JOHN F KENNEDY MIDDLE SCHOOL","ERIE",296,0,5,25,14,240,12,207,7,46
"JOHN F KENNEDY MIDDLE SCHOOL","ERIE",835,1,21,27,242,528,16,281,29,149
"JOHN F KENNEDY SENIOR HIGH SCHOOL","ERIE",411,2,7,27,24,340,11,238,2,53
"JOHN T WAUGH ELEMENTARY SCHOOL","ERIE",346,123,0,1,9,203,10,233,0,88
"JOHN V LINDSAY WILDCAT ACADEMY CHARTER SCHOOL","NEW YORK",478,5,4,191,268,9,1,406,47,183
"JONAS BRONCK ACADEMY","BRONX",267,1,18,37,204,5,2,231,19,57
"JOSEPH C WILSON FOUNDATION ACADEMY","MONROE",586,0,25,427,93,40,1,537,58,109
"JOSEPH C WILSON MAGNET HIGH SCHOOL","MONROE",774,1,55,540,99,78,1,657,100,147
"JUAN MOREL CAMPOS SECONDARY SCHOOL","KINGS",505,0,5,99,366,31,4,437,138,177
"JUDITH S KAYE HIGH SCHOOL","NEW YORK",92,2,0,35,52,2,1,69,4,36
"KAEGEBEIN SCHOOL","ERIE",394,1,18,8,16,333,18,123,14,46
"KAPPA","BRONX",333,2,10,161,151,9,0,295,36,89
"KAPPA VII","BRONX",250,1,1,59,189,0,0,241,62,77
"KENMORE EAST SENIOR HIGH SCHOOL","ERIE",1210,2,28,85,60,994,41,555,31,250
"KENMORE WEST SENIOR HIGH SCHOOL","ERIE",1397,17,48,99,103,1084,46,670,29,251
"KEY COLLEGIATE CHARTER SCHOOL","KINGS",113,0,1,82,26,4,0,109,1,39
"KHALIL GIBRAN INTERNATIONAL ACADEMY","KINGS",214,5,37,76,18,67,11,179,74,43
"KING CENTER CHARTER SCHOOL","ERIE",427,0,24,383,4,3,13,402,13,45
"KINGS COLLEGIATE CHARTER SCHOOL","KINGS",817,14,4,728,66,2,3,681,11,129
"KINGSBOROUGH EARLY COLLEGE SCHOOL","KINGS",668,3,47,166,213,226,13,469,9,131
"KINGSBRIDGE INTERNATIONAL HIGH SCHOOL","BRONX",486,3,15,16,441,11,0,471,379,21
"KIPP ACADEMY CHARTER SCHOOL","BRONX",1061,10,2,445,594,7,3,933,101,189
"KIPP AMP CHARTER SCHOOL","KINGS",870,16,13,726,103,6,6,740,16,159
