"school_name","county","total","n_amind","n_asian","n_black","n_hisp","n_white","n_multi","n_ed","n_ell","n_swd"
"BRONX CHARTER SCHOOL-BETTER LRNING 2","BRONX",296,0,3,252,40,1,0,220,10,33
"BRONX COLLABORATIVE HIGH SCHOOL","BRONX",556,2,19,161,350,19,5,455,102,128
"BRONX COLLELGIATE ACADEMY","BRONX",389,1,14,90,279,4,1,347,74,91
"BRONX COMMUNITY CHARTER SCHOOL","BRONX",509,0,19,121,345,19,5,446,88,115
"BRONX COMMUNITY HIGH SCHOOL","BRONX",152,0,1,55,94,2,0,130,12,32
"BRONX COMPASS HIGH SCHOOL","BRONX",395,5,17,113,249,9,2,329,42,99
"BRONX DANCE ACADEMY SCHOOL","BRONX",273,0,4,53,212,3,1,252,17,63
"BRONX DELTA SCHOOL","BRONX",292,2,17,39,190,42,2,212,23,68
"BRONX DESIGN AND CONSTRUCTION ACADEMY","BRONX",462,9,1,125,319,7,1,416,80,139
"BRONX EARLY COLLEGE ACADEMY FOR TEACHING AND LEARNING","BRONX",516,2,14,146,346,8,0,456,49,100
"BRONX ENGINEERING AND TECHNOLOGY ACADEMY","BRONX",374,3,17,108,237,9,0,348,67,95
"BRONX ENVISION ACADEMY","BRONX",419,7,9,140,257,6,0,375,74,106
"BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER SCHOOL","BRONX",422,3,7,115,292,2,3,379,63,57
"BRONX GREEN MIDDLE SCHOOL","BRONX",404,4,26,73,238,61,2,373,89,91
"BRONX GUILD HIGH SCHOOL","BRONX",508,5,39,155,303,6,0,440,76,139
"BRONX HAVEN HIGH SCHOOL","BRONX",151,2,1,47,98,3,0,122,12,50
"BRONX HEALTH SCIENCES HIGH SCHOOL","BRONX",297,6,18,163,98,12,0,213,14,40
"BRONX HIGH SCHOOL FOR MEDICAL SCIENCE","BRONX",422,7,29,109,268,8,1,354,59,89
"BRONX HIGH SCHOOL FOR THE VISUAL ARTS","BRONX",472,2,17,127,279,45,2,372,28,148
"BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS","BRONX",317,1,14,154,136,9,3,237,48,71
"BRONX HIGH SCHOOL OF BUSINESS","BRONX",275,2,6,53,206,4,4,260,103,64
"BRONX HIGH SCHOOL OF SCIENCE","BRONX",3020,23,1955,80,214,674,74,1315,1,54
"BRONX HIGH SCHOOL-LAW AND COMMUNITY SERVICE","BRONX",406,5,6,113,270,10,2,369,52,106
"BRONX INTERNATIONAL HIGH SCHOOL","BRONX",407,2,12,53,328,12,0,371,358,14
"BRONX LAB SCHOOL","BRONX",361,5,10,125,207,12,2,311,55,115
"BRONX LATIN SCHOOL","BRONX",588,1,9,109,458,9,2,559,84,152
"BRONX LEADERSHIP ACADEMY HIGH SCHOOL","BRONX",544,7,3,160,362,10,2,478,107,152
"BRONX LEADERSHIP ACADEMY II HIGH SCHOOL","BRONX",510,2,4,135,362,6,1,482,68,144
"BRONX LIGHTHOUSE CHARTER SCHOOL","BRONX",675,5,6,208,448,2,6,621,86,116
"BRONX LITTLE SCHOOL","BRONX",291,3,44,46,191,3,4,257,61,71
"BRONX MATHEMATICS PREPARATORY SCHOOL (THE)","BRONX",230,6,8,83,131,2,0,224,32,78
"BRONX PARK MIDDLE SCHOOL","BRONX",409,2,30,76,250,47,4,384,83,82
"BRONX PREPARATORY CHARTER SCHOOL","BRONX",706,2,3,348,347,6,0,617,60,101
"BRONX REGIONAL HIGH SCHOOL","BRONX",157,1,5,54,92,5,0,144,16,31
"BRONX RIVER HIGH SCHOOL","BRONX",427,11,23,98,272,23,0,348,66,111
"BRONX SCHOOL FOR CONTINUOUS LEARNING","BRONX",317,0,13,109,185,9,1,298,81,316
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE","BRONX",754,3,11,179,552,5,4,661,81,167
"BRONX SCHOOL OF LAW AND FINANCE","BRONX",360,2,4,85,256,12,1,319,72,81
"BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS","BRONX",631,0,5,125,490,10,1,538,77,176
"BRONX THEATRE HIGH SCHOOL","BRONX",353,3,4,113,221,9,3,302,22,83
"BRONX WRITING ACADEMY","BRONX",399,4,5,126,257,6,1,370,97,111
"BRONXDALE HIGH SCHOOL","BRONX",459,3,23,130,262,38,3,368,31,109
"BRONXWOOD PREPARATORY ACADEMY (THE)","BRONX",362,12,14,229,93,13,1,265,34,85
"BROOKLYN ACADEMY HIGH SCHOOL","KINGS",198,0,1,166,31,0,0,169,2,54
"BROOKLYN ACADEMY OF GLOBAL FINANCE (THE)","KINGS",107,2,8,76,18,3,0,103,15,30
"BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT","KINGS",378,2,15,301,44,13,3,288,21,62
"BROOKLYN ARBOR ELEMENTARY SCHOOL","KINGS",582,0,17,17,373,154,21,341,59,140
"BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL","KINGS",327,0,16,157,91,57,6,224,47,96
"BROOKLYN ASCEND CHARTER SCHOOL","KINGS",1538,16,10,1424,77,2,9,1275,15,228
"BROOKLYN BRIDGE ACADEMY","KINGS",186,2,4,153,22,4,1,147,22,41
"BROOKLYN BROWNSTONE SCHOOL","KINGS",252,2,5,183,32,24,6,190,3,55
"BROOKLYN CHARTER SCHOOL (THE)","KINGS",209,3,4,157,43,2,0,163,15,34
"BROOKLYN COLLEGE ACADEMY","KINGS",658,2,63,455,75,26,37,474,4,94
"BROOKLYN COLLEGIATE-A COLLEGE BOARD SCHOOL","KINGS",240,2,3,200,32,2,1,212,14,63
"BROOKLYN COMMUNITY HIGH SCH-COMMUNICATION, ARTS & MEDIA","KINGS",425,3,4,293,120,3,2,376,16,115
"BROOKLYN DEMOCRACY ACADEMY","KINGS",196,5,2,153,35,1,0,158,7,54
"BROOKLYN DREAMS CHARTER SCHOOL","KINGS",621,10,92,402,98,15,4,510,72,116
"BROOKLYN EAST COLLEGIATE CHARTER SCHOOL","KINGS",310,17,4,260,24,2,3,241,14,54
"BROOKLYN EMERGING LEADERS ACADEMY CS","KINGS",116,3,0,83,27,2,1,85,3,20
"BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES)","KINGS",99,0,1,72,24,1,1,91,8,38
"BROOKLYN EXCELSIOR CHARTER SCHOOL","KINGS",631,5,5,493,119,4,5,569,25,108
"BROOKLYN FRONTIERS HIGH SCHOOL","KINGS",173,1,4,111,55,1,1,154,8,75
"BROOKLYN GARDENS ELEMENTARY SCHOOL","KINGS",266,3,0,175,81,6,1,254,15,86
"BROOKLYN GENERATION SCHOOL","KINGS",189,2,0,154,23,9,1,146,23,46
"BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY","KINGS",602,4,22,383,171,12,10,498,36,138
"BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY","KINGS",170,1,2,120,45,2,0,142,10,38
"BROOKLYN HIGH SCHOOL OF THE ARTS","KINGS",948,4,33,616,204,46,45,687,10,169
"BROOKLYN INSTITUTE FOR LIBERAL ARTS","KINGS",410,3,7,357,42,1,0,351,20,85
"BROOKLYN INTERNATIONAL HIGH SCHOOL AT WATERS EDGE","KINGS",349,0,88,71,152,38,0,293,256,10
"BROOKLYN LAB SCHOOL","KINGS",449,7,50,103,261,24,4,398,156,91
"BROOKLYN LABORATORY CHARTER SCHOOL","KINGS",687,8,16,531,118,7,7,670,19,220
"BROOKLYN LANDMARK ELEMENTARY SCHOOL","KINGS",338,2,8,255,71,2,0,262,11,71
"BROOKLYN LATIN SCHOOL (THE)","KINGS",701,9,384,86,83,93,46,427,0,19
"BROOKLYN PREPARATORY HIGH SCHOOL","KINGS",527,5,5,227,279,8,3,444,11,100
"BROOKLYN PROSPECT CHARTER SCHOOL","KINGS",773,1,66,77,271,322,36,340,17,160
"BROOKLYN PROSPECT CHARTER-CSD 13","KINGS",701,6,36,247,105,249,58,249,8,99
"BROOKLYN SCHOLARS CHARTER SCHOOL","KINGS",696,9,47,458,177,1,4,611,21,86
"BROOKLYN SCHOOL FOR GLOBAL STUDIES","KINGS",248,1,9,136,86,13,3,202,1,53
"BROOKLYN SCHOOL FOR MATH AND RESEARCH (THE)","KINGS",277,1,13,132,118,7,6,247,27,51
"BROOKLYN SCHOOL FOR MUSIC & THEATER","KINGS",297,0,1,229,60,5,2,238,8,68
"BROOKLYN SCHOOL OF INQUIRY","KINGS",534,1,110,29,25,357,12,149,54,49
"BROOKLYN SCIENCE AND ENGINEERING ACADEMY","KINGS",318,3,3,295,13,3,1,249,9,48
"BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES","KINGS",687,4,18,240,308,104,13,454,37,213
"BROOKLYN STUDIO SECONDARY SCHOOL","KINGS",933,3,201,40,270,404,15,732,146,197
"BROOKLYN TECHNICAL HIGH SCHOOL","KINGS",5942,32,3605,341,422,1456,86,3582,1,87
"BROOKLYN THEATRE ARTS HIGH SCHOOL","KINGS",344,5,8,289,35,6,1,290,8,59
"BROOKLYN URBAN GARDEN CHARTER SCHOOL","KINGS",286,0,9,103,116,42,16,187,11,76
"BROOKS HILL SCHOOL","MONROE",644,0,27,17,27,550,23,170,79,60
"BROOKSIDE ELEMENTARY SCHOOL CAMPUS","MONROE",366,0,17,42,46,246,15,191,22,54
"BROOKVIEW SCHOOL","MONROE",145,1,4,15,21,95,9,58,0,19
"BROOME STREET ACADEMY CHARTER HIGH SCHOOL","NEW YORK",297,4,5,152,123,5,8,228,16,76
"BROWNSVILLE ACADEMY HIGH SCHOOL","KINGS",107,0,0,89,15,2,1,91,3,28
"BROWNSVILLE ASCEND CHARTER SCHOOL","KINGS",1051,8,7,912,109,7,8,900,3,168
"BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL","KINGS",279,2,1,189,81,5,1,267,31,104
"BROWNSVILLE COLLEGIATE  CHARTER SCHOOL","KINGS",353,9,4,240,95,4,1,292,29,70
"BUCKMAN HEIGHTS ELEMENTARY SCHOOL","MONROE",362,0,22,44,56,217,23,237,18,46
"BUFFALO ACADEMY FOR THE VISUAL & PERFORMING ARTS","ERIE",724,9,8,427,105,153,22,469,10,143
"BUFFALO ACADEMY OF SCIENCE CHARTER SCHOOL","ERIE",701,7,124,453,22,90,5,630,56,83
"BUFFALO COLLEGIATE CHARTER SCHOOL","ERIE",111,0,1,95,9,4,2,93,0,9
"BUFFALO ELEMENTARY SCHOOL OF TECHNOLOGY","ERIE",543,0,104,281,58,83,17,526,220,97
"BUFFALO UNITED CHARTER SCHOOL","ERIE",640,0,20,528,57,9,26,610,22,74
"BUILD COMMUNITY SCHOOL","ERIE",356,1,19,293,20,10,13,342,24,97
"BURGARD VOCATIONAL HIGH SCHOOL","ERIE",493,3,34,341,66,40,9,440,66,124
"BUSHWICK ASCEND CHARTER SCHOOL","KINGS",887,2,8,192,672,8,5,816,129,147
"BUSHWICK COMMUNITY HIGH SCHOOL","KINGS",155,0,0,49,104,2,0,127,9,63
"BUSHWICK LEADERS HS FOR ACADEMIC EXCELLENCE","KINGS",310,2,5,60,235,4,4,296,82,86
"BUSHWICK SCHOOL FOR SOCIAL JUSTICE","KINGS",324,2,4,62,242,11,3,272,114,76
"BUSINESS OF SPORTS SCHOOL","NEW YORK",433,6,6,138,267,14,2,316,38,109
"BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL","QUEENS",525,15,128,226,103,33,20,350,21,70
"CALKINS ROAD MIDDLE SCHOOL","MONROE",668,0,79,24,44,490,31,21,10,83
